record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,confidence,evidence_level,is_correct,is_mutant,trap_detected,needs_human_review,review_reason,reasoning
REC_0571,11,Q2IU02,CYP199A4,4-(2-chloroethyl)benzoic acid,7U00,SUBSTRATE,SUBSTRATE,HIGH,A,True,False,none,False,,CYP199A4 is well-characterized aromatic acid hydroxylase. 4-(2-chloroethyl)benzoic acid fits substrate profile (para-substituted benzoic acid). High confidence assignment confirmed.
REC_0572,11,Q2IU02,CYP199A4,4-benzoylbenzoic acid,8D39,SUBSTRATE,SUBSTRATE,HIGH,A,True,False,none,False,,"CYP199A4 substrate. 4-benzoylbenzoic acid is para-substituted benzoic acid derivative, typical substrate for this enzyme."
REC_0573,11,Q2IU02,CYP199A4,4-butylbenzoic acid,8E5J,SUBSTRATE,SUBSTRATE,HIGH,A,True,False,none,False,,"CYP199A4 substrate. 4-butylbenzoic acid is para-substituted benzoic acid, well-documented substrate class."
REC_0574,11,Q2IU02,CYP199A4,Mesoheme,8E5J,EXCLUDE,EXCLUDE,HIGH,A,True,False,none,False,,"Mesoheme is heme cofactor, not substrate. Correctly classified as EXCLUDE."
REC_0575,11,Q2IU02,CYP199A4,4-[(2S)-2-hydroxy-3-oxobutan-2-yl]benzoic acid,8G35,PRODUCT,PRODUCT,HIGH,A,True,False,none,False,,"Hydroxylated benzoic acid derivative, consistent with CYP199A4 oxidation product. Original classification states 'product'. High confidence."
REC_0576,11,Q2IU02,CYP199A4,terephthalic acid,8G36,EXCLUDE,EXCLUDE,MEDIUM,B,True,False,none,False,,"Terephthalic acid (1,4-benzenedicarboxylic acid) is di-acid, not typical mono-carboxylic acid substrate. Notes indicate 'not substrate'. Classification confirmed."
REC_0577,11,Q2IU02,CYP199A4,4-methoxy-3-oxidanyl-benzoic acid,8HGB,PRODUCT,PRODUCT,HIGH,A,True,False,none,False,,Hydroxylated aromatic product (3-hydroxy-4-methoxybenzoic acid). Original class states 'product'. Consistent with CYP199A4 oxidation.
REC_0578,11,Q2IU02,CYP199A4,4-(pyridin-2-yl)benzoic acid,8TAW,INHIBITOR,INHIBITOR,MEDIUM,B,True,False,none,False,,Pyridine nitrogen can coordinate to heme iron (Type II inhibitor). Medium confidence reasonable due to structural binding mode evidence.
REC_0579,11,Q2IU02,CYP199A4,4-benzylbenzoic acid,8TNK,SUBSTRATE,SUBSTRATE,MEDIUM,B,True,False,none,False,,4-benzylbenzoic acid is para-substituted benzoic acid. Confidence marked med-high. Substrate classification reasonable.
REC_0580,11,Q2IU02,CYP199A4,4-propanoylbenzoic acid,8VKF,SUBSTRATE,SUBSTRATE,MEDIUM,B,True,False,none,False,,4-propanoylbenzoic acid is para-substituted benzoic acid. Medium confidence assignment reasonable for this derivative.
REC_0581,11,Q2IU02,CYP199A4,4-(2-oxopropyl)benzoic acid,8VL0,SUBSTRATE,SUBSTRATE,MEDIUM,B,True,False,none,False,,4-(2-oxopropyl)benzoic acid is para-substituted derivative. Medium confidence appropriate for this structure.
REC_0582,11,Q2IU02,CYP199A4,4-(trifluoromethoxy)benzoic acid,8VOC,SUBSTRATE,SUBSTRATE,MEDIUM,B,True,False,none,False,,4-(trifluoromethoxy)benzoic acid fits para-substituted benzoic acid profile. Medium confidence reasonable.
REC_0583,11,Q2IU02,CYP199A4,P-HYDROXYBENZOIC ACID,8VOK,SUBSTRATE,SUBSTRATE,MEDIUM,A,True,False,none,False,,p-Hydroxybenzoic acid is well-known substrate for aromatic hydroxylases. Med-high confidence assignment confirmed.
REC_0584,11,Q2IU02,CYP199A4,4-(hydroxymethyl)benzoic acid,8VOT,PRODUCT,PRODUCT,MEDIUM,B,True,False,none,False,,"4-(hydroxymethyl)benzoic acid shows hydroxylation at benzylic position, consistent with oxidation product. Med-high confidence."
REC_0585,11,Q2IU02,CYP199A4,4-METHOXYBENZOIC ACID,9DOE,SUBSTRATE,SUBSTRATE,HIGH,A,True,False,none,False,,4-methoxybenzoic acid (anisic acid) is classic para-substituted benzoic acid substrate. High confidence confirmed.
REC_0586,11,Q2IU02,CYP199A4,4-tert-butylbenzoic acid,9DX9,SUBSTRATE,SUBSTRATE,HIGH,A,True,False,none,False,,4-tert-butylbenzoic acid is para-substituted benzoic acid. High confidence assignment confirmed.
REC_0587,11,Q385E8,CYP51 (T. brucei),Fluconazole,2WV2,INHIBITOR,INHIBITOR,HIGH,A,True,False,none,False,,"Fluconazole is FDA-approved azole antifungal, potent CYP51 inhibitor. Type II coordination via triazole nitrogen to heme iron. High confidence."
REC_0588,11,Q385E8,CYP51 (T. brucei),Posaconazole,2X2N,INHIBITOR,INHIBITOR,HIGH,A,True,False,none,False,,"Posaconazole is FDA-approved broad-spectrum azole antifungal, potent CYP51 inhibitor. High confidence confirmed."
REC_0589,11,Q385E8,CYP51 (T. brucei),VNI,3GW9,INHIBITOR,INHIBITOR,HIGH,A,True,False,none,False,,VNI is experimental CYP51 inhibitor for African trypanosomiasis. Contains imidazole for heme coordination. High confidence.
