record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,confidence,evidence_level,is_correct,is_mutant,trap_detected,needs_human_review,review_reason,reasoning
REC_0286,06,P11712,CYP2C9,"N-[4-(3-chloranyl-4-cyano-phenoxy)cyclohexyl]-1,1,1-tris(fluoranyl)methanesulfonamide",5A5I,INHIBITOR,INHIBITOR,MEDIUM,B,True,False,none,False,,"CYP2C9 inhibitor, no Fe-N coordination. Medium confidence."
REC_0287,06,P11712,CYP2C9,"N-[4-(3-chloranyl-4-cyano-phenoxy)-3,5-dimethoxy-phenyl]-1,1,1-tris(fluoranyl)methanesulfonamide",5A5J,INHIBITOR,INHIBITOR,MEDIUM,B,True,False,none,False,,"CYP2C9 inhibitor, no Fe-N coordination. Medium confidence."
REC_0288,06,P11712,CYP2C9,"4-[4-chloranyl-2-(1~{H}-pyrazol-4-yl)phenoxy]-3-cyano-~{N}-(1,3-thiazol-2-yl)benzenesulfonamide",5K7K,INHIBITOR,INHIBITOR,HIGH,A,True,False,none,False,,Type-II inhibitor with Fe-N=2.21Å. Correctly classified.
REC_0289,06,P11712,CYP2C9,"ethyl {2-[([1,3]thiazolo[4,5-c]pyridine-2-carbonyl)amino]thiophene-3-carbonyl}carbamate",5W0C,INHIBITOR,INHIBITOR,MEDIUM,B,True,False,none,False,,"CYP2C9 inhibitor, no Fe-N coordination. Medium confidence."
REC_0290,06,P11712,CYP2C9,"[2-butyl-5-chloranyl-3-[[4-[2-(2H-1,2,3,4-tetrazol-5-yl)phenyl]phenyl]methyl]imidazol-4-yl]methanol",5X23,UNKNOWN,SUBSTRATE,HIGH,A,True,False,none,False,,Losartan is well-known CYP2C9 substrate. Correctly classified.
REC_0291,06,P11712,CYP2C9,beta-D-fructofuranose,8VZ7,UNKNOWN,EXCLUDE,HIGH,A,True,False,none,False,,Fructose crystallization additive. Correctly classified as EXCLUDE.
REC_0292,06,P14779,CYP102A1 (P450 BM3),N-PALMITOYLGLYCINE,1JPZ,UNKNOWN,SUBSTRATE,HIGH,A,True,False,none,False,,N-acyl amino acid substrate for CYP102A1. Correctly classified.
REC_0293,06,P14779,CYP102A1 (P450 BM3),N-PALMITOYL-L-METHIONINE,1ZO9,UNKNOWN,SUBSTRATE,HIGH,A,True,False,none,False,,N-acyl amino acid substrate for CYP102A1. Correctly classified.
REC_0294,06,P14779,CYP102A1 (P450 BM3),PALMITIC ACID,2UWH,SUBSTRATE,SUBSTRATE,HIGH,A,True,False,none,False,,Palmitic acid is native CYP102A1 substrate. Correctly classified.
REC_0295,06,P14779,CYP102A1 (P450 BM3),N-[12-(1H-imidazol-1-yl)dodecanoyl]-L-leucine,3BEN,INHIBITOR,INHIBITOR,HIGH,A,True,False,none,False,,"Imidazole-containing compound, type II inhibitor. Correctly classified."
