record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,confidence,evidence_level,is_correct,is_mutant,trap_detected,needs_human_review,review_reason,reasoning
REC_0400,08,P20815,"CYP3A5 (NOTE: UniProt P20815 maps to CYP2A13, but PDBs are CYP3A5)",DODECYL NONA ETHYLENE GLYCOL ETHER,8SG5,inhibitor,EXCLUDE,HIGH,A,True,False,none,False,,Notes confirm 'Detergent'. Original 'inhibitor' classification incorrect. Should be excluded.
REC_0401,08,P20815,"CYP3A5 (NOTE: UniProt P20815 maps to CYP2A13, but PDBs are CYP3A5)",1-[(2-CHLOROPHENYL)(DIPHENYL)METHYL]-1H-IMIDAZOLE,8SG5,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,Clotrimazole with Fe-N=1.91-2.08A. Notes confirm Type-II inhibitor. Well-documented azole inhibitor.
REC_0402,08,P20815,"CYP3A5 (NOTE: UniProt P20815 maps to CYP2A13, but PDBs are CYP3A5)",N'-(2-chlorophenyl)-N-[(3-hydroxyphenyl)methyl]-N-[(2P)-2-(1H-imidazol-1-yl)-5-(trifluoromethyl)phenyl]urea,9MS2,unknown,INHIBITOR,HIGH,A,True,False,none,False,,SJYHJ-111 with Fe-N=2.29-2.32A. Notes confirm imidazole-heme coordination. Type-II inhibitor.
REC_0403,08,P24462,CYP3A7 (human steroid metabolism),"(2S,3S)-1,4-DIMERCAPTOBUTANE-2,3-DIOL",7MK8,unknown,EXCLUDE,HIGH,A,True,False,none,False,,Dithiothreitol (DTT) is reducing agent used in crystallization. Notes confirm 'Dithiothreitol (artifact)'. Should be excluded.
REC_0404,08,P24462,CYP3A7 (human steroid metabolism),17-oxoandrost-5-en-3beta-yl hydrogen sulfate,8GK3,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,"DHEA sulfate is steroid substrate for CYP3A7, which specializes in fetal steroid metabolism. Notes confirm 'DHEA sulfate'."
REC_0405,08,P33006,P450_P33006,alpha-TERPINEOL,8EUH,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,Alpha-terpineol is monoterpene alcohol. Notes confirm substrate. Bacterial P450s process terpenes.
REC_0406,08,P48635,EryK (erythromycin C-12 hydroxylase),Erythromycin D,2JJO,inhibitor,SUBSTRATE,HIGH,A,True,False,none,False,,Erythromycin D is native substrate of EryK. Notes confirm 'Erythromycin D (native substrate)'. Original 'inhibitor' classification incorrect.
REC_0407,08,P48635,EryK (erythromycin C-12 hydroxylase),"1-ACETYL-4-(4-{[(2S,4R)-2-(2,4-DICHLOROPHENYL)-2-(1H-IMIDAZOL-1-YLMETHYL)-1,3-DIOXOLAN-4-YL]METHOXY}PHENYL)PIPERAZINE",2JJP,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,Ketoconazole analog with Fe-N=1.96A. Notes confirm Type-II inhibitor. Azole antifungals are broad P450 inhibitors.
REC_0408,08,P48635,EryK (erythromycin C-12 hydroxylase),1-[(2-CHLOROPHENYL)(DIPHENYL)METHYL]-1H-IMIDAZOLE,2XFH,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,Clotrimazole with Fe-N=2.10A. Notes confirm Type-II inhibitor. Classic azole antifungal inhibitor.
REC_0409,08,P48635,EryK (erythromycin C-12 hydroxylase),Erythromycin B,3ZKP,inhibitor,SUBSTRATE,HIGH,A,True,False,none,False,,Erythromycin B is alternative substrate for EryK. Notes confirm 'Erythromycin B (alternative substrate)'. Original 'inhibitor' classification incorrect.
