record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,confidence,evidence_level,is_correct,is_mutant,trap_detected,needs_human_review,review_reason,reasoning
REC_0229,05,P05108,CYP11A1 (cholesterol side-chain cleavage),CHOLESTEROL,3N9Y,SUBSTRATE,SUBSTRATE,HIGH,A,True,False,none,False,,CYP11A1 catalyzes cholesterol to pregnenolone conversion. Cholesterol is the canonical substrate.
REC_0230,05,P05108,CYP11A1 (cholesterol side-chain cleavage),FE2/S2 (INORGANIC) CLUSTER,3N9Y,SUBSTRATE,EXCLUDE,HIGH,A,True,False,none,False,,"Fe2/S2 cluster from adrenodoxin. Prosthetic group, not substrate. Correctly classified as EXCLUDE."
REC_0231,05,P05108,CYP11A1 (cholesterol side-chain cleavage),"(3alpha,8alpha,22R)-cholest-5-ene-3,22-diol",3N9Z,SUBSTRATE,PRODUCT,HIGH,A,True,False,substrate_product_confusion,False,,22-hydroxycholesterol is product of CYP11A1 first hydroxylation. Correctly reclassified as PRODUCT.
REC_0232,05,P05108,CYP11A1 (cholesterol side-chain cleavage),"(3alpha,8alpha,22R)-cholest-5-ene-3,20,22-triol",3NA0,SUBSTRATE,PRODUCT,HIGH,A,True,False,substrate_product_confusion,False,,"20,22-dihydroxycholesterol is intermediate product in CYP11A1 pathway. Correctly classified as PRODUCT."
REC_0233,05,P05108,CYP11A1 (cholesterol side-chain cleavage),"(3alpha,8alpha)-cholest-5-ene-3,20-diol",3NA1,SUBSTRATE,PRODUCT,HIGH,A,True,False,substrate_product_confusion,False,,20-hydroxycholesterol is product in steroidogenesis. Correctly classified as PRODUCT.
REC_0234,05,P05177,P450_P05177,2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE,2HI4,UNKNOWN,INHIBITOR,HIGH,A,True,False,none,False,,Alpha-naphthoflavone is well-known CYP1A2 inhibitor. Correctly classified.
REC_0235,05,P05181,CYP2E1,4-methyl-1H-pyrazole,3E4E,INHIBITOR,INHIBITOR,HIGH,A,True,False,none,False,,Mechanism-based CYP2E1 inhibitor. Fe-N=1.58-1.72Å confirms type II binding.
REC_0236,05,P05181,CYP2E1,1H-indazole,3E6I,INHIBITOR,INHIBITOR,HIGH,A,True,False,none,False,,Type II inhibitor with Fe-N=2.19-2.22Å. Correctly classified.
REC_0237,05,P05181,CYP2E1,10-(1H-imidazol-1-yl)decanoic acid,3GPH,UNKNOWN,INHIBITOR,HIGH,A,True,False,none,False,,Imidazole-fatty acid analog. Fe-N=2.34-2.44Å indicates type II inhibitor.
REC_0238,05,P05181,CYP2E1,8-(1H-imidazol-1-yl)octanoic acid,3KOH,UNKNOWN,INHIBITOR,HIGH,A,True,False,none,False,,Imidazole-octanoic acid. Fe-N=2.52-2.59Å indicates type II inhibitor.
