id,name,our_labels,verdict,correct_labels,source,notes
CMP_G000217,"(2E,6E,10E)-Geranylgeraniol",Terpenoid,CORRECT,Terpenoid,PubChem CID 5281365; Wikipedia,Diterpenoid alcohol (C20); naturally occurring diterpene alcohol; confirmed terpenoid
CMP_G000099,"Triterpenoid acetate (truncated name)",Terpenoid,CORRECT,Terpenoid,NPClassifier; structural analysis,Complex triterpenoid skeleton with acetate esters; consistent with triterpenoid classification
CMP_G000904,"Methyl 3-(azidosulfonyl)-4-(1-methylethyl)benzoate",Terpenoid,WRONG,Other,PubChem search; structural analysis,Synthetic aromatic sulfonyl azide with methyl ester. Not a natural terpenoid despite isopropyl group. Azidosulfonyl group is synthetic.
CMP_G001307,"Taxa-4(20),11-Dien-5Alpha-Ol",Terpenoid,CORRECT,Terpenoid,PubMed 11396929; PubMed 15123267,Key diterpenoid intermediate in Taxol biosynthesis from Taxus; confirmed diterpenoid
CMP_G000707,Gibberellin,Terpenoid,CORRECT,Terpenoid,Wikipedia; PMC 4118669,Tetracyclic diterpenoid plant hormone; well-established terpenoid classification
CMP_G000793,"unnamed (CC(=O)/C=C/C=C(\C)CCC=C(C)C)",Terpenoid,CORRECT,Terpenoid,NPClassifier; structural analysis,Apocarotenoid structure (C13 ketone from carotenoid cleavage); terpenoid-derived
CMP_G001764,"(-)-Vetispiradiene",Terpenoid,CORRECT,Terpenoid,Wikipedia; PMC 6589726,Sesquiterpenoid (C15) produced by vetispiradiene synthase from FPP; confirmed terpenoid
CMP_G001222,"(+)-epi-beta-santalene",Terpenoid,CORRECT,Terpenoid,PMC 3093818; Nature srep10095,Bicyclic sesquiterpene (C15) from sandalwood; confirmed terpenoid
CMP_G000633,medicagenic acid,Terpenoid,CORRECT,Terpenoid,PMC 8172297; Nature ncomms14153,Pentacyclic triterpenoid sapogenin from Medicago species; confirmed terpenoid
CMP_G000388,solavetivone,Terpenoid,CORRECT,Terpenoid,PMC 6589726; Tandfonline 2019,Sesquiterpenoid phytoalexin from Solanum (potato); confirmed terpenoid
CMP_G001890,"(+)-(R)-germacrene A",Terpenoid,CORRECT,Terpenoid,Wikipedia; ChemEurJ 2020,Macrocyclic sesquiterpene (C15); central intermediate in sesquiterpene biosynthesis; confirmed terpenoid
CMP_G001485,Asperaculane G,Terpenoid,CORRECT,Terpenoid,PMC 6272214; MDPI Molecules,Sesquiterpenoid from Aspergillus aculeatus (ent-daucane type); confirmed terpenoid
CMP_G001499,Retinoate,Terpenoid,CORRECT,Terpenoid,Wikipedia (Retinoic acid); PubChem CID 444795,Retinoid = diterpenoid (C20) from four isoprene units; confirmed terpenoid
CMP_G001208,"unnamed diterpenoid",Terpenoid,CORRECT,Terpenoid,Structural analysis,C20 skeleton with multiple rings; consistent with diterpenoid classification
CMP_G000724,"30-Hydroxy-11-Oxo-Beta-Amyrin",Terpenoid,CORRECT,Terpenoid,PubChem CID 12310283; ChEBI 71576,Oleanane-type pentacyclic triterpenoid; intermediate in glycyrrhizin biosynthesis; confirmed terpenoid
CMP_G002036,3-dehydroxy-andrographoide,Terpenoid,CORRECT,Terpenoid,PubMed 29408515; ScienceDirect,Andrographolide derivative = diterpenoid lactone from Andrographis paniculata; confirmed terpenoid
CMP_G002098,"(5R)-albaflavenol",Terpenoid,CORRECT,Terpenoid,Nature ja2014138; PMC 2276382,Sesquiterpenoid from Streptomyces; intermediate in albaflavenone biosynthesis; confirmed terpenoid
CMP_G001050,"unnamed monoterpene (C=C1CC[C@@]2(C(C)C)C[C@@H]12)",Terpenoid,CORRECT,Terpenoid,Structural analysis,Bicyclic C10 skeleton consistent with monoterpenoid (sabinene-like skeleton)
CMP_G000563,P-Cymene,Terpenoid,CORRECT,Terpenoid,Wikipedia; PubChem CID 7463; ChEBI 28768,Monocyclic monoterpene (C10); aromatic but biosynthetically terpenoid; confirmed
