id,name,our_labels,verdict,correct_labels,source,notes
CMP_G000005,"A 1,2-Saturated Fatty Acid",Fatty_acid,CORRECT,Fatty_acid,ChEBI/structural,"Generic fatty acyl with wildcard; carboxylic acid + chain = fatty acid"
CMP_G000006,"2,3-Saturated Fatty Acid",Fatty_acid,CORRECT,Fatty_acid,ChEBI/structural,"Generic fatty acyl with wildcard; carboxylic acid + chain = fatty acid"
CMP_G000014,An Omega-Methyl-Long-Chain Fatty Acid,Fatty_acid,CORRECT,Fatty_acid,ChEBI/structural,"Generic fatty acid template with wildcard"
CMP_G000015,An (Omega-1)-Ethyl Fatty Acid,Fatty_acid,CORRECT,Fatty_acid,ChEBI/structural,"Generic fatty acid template with wildcard"
CMP_G000049,p-coumaroylagmatine,"Amino_acid,Phenylpropanoid",WRONG,Phenylpropanoid,"PubChem CID 5280691; PMC HCAA review","Hydroxycinnamic acid amide (HCAA); p-coumaric acid conjugated with agmatine. Phenylpropanoid amide, NOT amino acid derivative (agmatine is a polyamine from arginine decarboxylation, not an amino acid)"
CMP_G000087,andrastin C,"Steroid,Polyketide",WRONG,"Terpenoid,Polyketide","Nature Chem; ScienceDirect meroterpenoid reviews","Andrastin C is a fungal MEROTERPENOID (polyketide+terpenoid hybrid). Not a steroid despite tetracyclic ring; ent-5a,14b-androstane skeleton derived from polyketide 3,5-dimethylorsellinic acid + farnesyl"
CMP_G000174,11-Hydroxycucurbitadienol,Steroid,WRONG,Terpenoid,"ChEBI:138972; PubChem cucurbitadienol","Cucurbitane-type TRITERPENOID (C30). Derived from oxidosqualene cyclization. Not a steroid (retains all 30 carbons; steroids are C27 or less after demethylation)"
CMP_G000202,2-amino-3-(5-hydroxy-1-methylindol-3-yl)propanoic acid,"Alkaloid,Amino_acid",CORRECT,Amino_acid,"PubChem; structural analysis","5-hydroxy-1-methyltryptophan derivative. Has intact alpha-amino acid backbone. The N-methyl indole ring does NOT make it an alkaloid per se - it is a modified amino acid. However multi-label Alkaloid+Amino_acid is acceptable given indole N"
CMP_G000316,,[ibuprofen-phenylalanine conjugate],Amino_acid,CORRECT,Amino_acid,structural analysis,"SMILES: ibuprofen moiety conjugated to phenylalanine via amide bond. Contains amino acid C-terminus. Amino_acid derivative classification is correct"
CMP_G000364,N-acetyltryptophan,Amino_acid,CORRECT,Amino_acid,"PubChem CID 700653; ChEBI:70976","N-acetyl derivative of tryptophan. Confirmed N-acetylamino acid"
CMP_G000389,Betaenone A,"Terpenoid,Polyketide",WRONG,Polyketide,"RSC Chem Commun 2015; isotope labeling studies","Betaenone A is a POLYKETIDE only (8 acetate units + methionine methyls). Decalin scaffold from Diels-Alder, not terpenoid biosynthesis. ClassyFire terpenoid call was wrong"
CMP_G000539,,[macrolactam/polyketide-peptide hybrid],"Terpenoid,Amino_acid,Polyketide",WRONG,"Amino_acid,Polyketide",structural analysis,"SMILES shows macrocyclic lactam with amide bonds + polyketide chain. No terpenoid (isoprene) units visible. Polyketide macrolactam with amino acid incorporation"
CMP_G000570,geranyl acetate,"Terpenoid,Fatty_acid",WRONG,Terpenoid,"ChEBI:5331; PubChem CID 1549026; Wikipedia","Monoterpenoid (acetate ester of geraniol, 2 isoprene units). NOT a fatty acid - no long aliphatic chain with carboxylic acid"
CMP_G000631,L-Isoleucine-(+)-7-Isojasmonate,Amino_acid,WRONG,"Fatty_acid,Amino_acid","Nature Chem Biol; plant hormone literature","Jasmonoyl-isoleucine conjugate. Jasmonic acid is an oxylipin (fatty acid derivative). Should be Fatty_acid+Amino_acid dual label"
CMP_G000718,L-Tyr-L-Tyr,Amino_acid,CORRECT,Amino_acid,"PubChem; ScienceDirect dipeptide","Dipeptide of two tyrosines. Amino acid derivative classification correct"
CMP_G000763,"3,7-dimethyloct-6-enyl acetate","Terpenoid,Fatty_acid",WRONG,Terpenoid,"PubChem CID 9017; ChEBI citronellyl acetate","Citronellyl acetate = monoterpenoid (acetate ester of citronellol). NOT a fatty acid"
CMP_G000765,1H-Indole-3-propanoic acid alpha-amino-6-hydroxy-1-methyl-,"Alkaloid,Amino_acid",CORRECT,Amino_acid,"structural analysis; PubChem","6-hydroxy-1-methyltryptophan. Has intact alpha-amino acid backbone. Alkaloid+Amino_acid multi-label acceptable"
CMP_G000782,,[dipeptide with benzothiophene],Amino_acid,CORRECT,Amino_acid,structural analysis,"SMILES shows N-methyl-valine + serine-like residue with benzothiophene sidechain. Dipeptide = amino acid derivative"
CMP_G000883,,[dipeptide phenylalanine-tryptophanol],Amino_acid,CORRECT,Amino_acid,structural analysis,"SMILES shows N-methyl-phenylalanine + tryptophanol dipeptide. Amino acid derivative"
CMP_G001133,,[prenylated quinolinone],Terpenoid+Alkaloid,CORRECT,"Terpenoid,Alkaloid","Aspergillus nidulans literature; prenylated alkaloid reviews","SMILES shows farnesyl (C15 terpenoid) chain attached to quinolinone ring with N. Prenylated alkaloid = terpenoid+alkaloid hybrid. Both labels correct"
CMP_G001163,Cycloartenol,Steroid,WRONG,Terpenoid,"Wikipedia cycloartenol; ChEBI; PNAS","Cycloartenol is a TRITERPENOID (C30) and sterol precursor. While it is on the pathway TO steroids, it retains 30 carbons (3 extra methyl groups vs true steroids). More accurately classified as Terpenoid (triterpene)"
CMP_G001174,NMVT,Amino_acid,CORRECT,Amino_acid,"Nature Chem Biol; P450 TleB literature","N-methylvalyl-tryptophanol. Dipeptide substrate for P450 TleB. Amino acid derivative"
CMP_G001245,2-amino-3-(5-chloro-1-methylindol-3-yl)propanoic acid,"Alkaloid,Amino_acid",CORRECT,Amino_acid,structural analysis,"5-chloro-1-methyltryptophan. Intact alpha-amino acid backbone. Alkaloid+Amino_acid multi-label acceptable"
CMP_G001341,2-amino-3-(7-fluoro-1-methylindol-3-yl)propanoic acid,"Alkaloid,Amino_acid",CORRECT,Amino_acid,structural analysis,"7-fluoro-1-methyltryptophan. Intact alpha-amino acid backbone. Alkaloid+Amino_acid multi-label acceptable"
CMP_G001442,tetramic acid,"Alkaloid,Amino_acid",WRONG,Other,"PubChem CID 54687243; Chem Rev tetramic acid review","Tetramic acid (pyrrolidine-2,4-dione) is a heterocyclic scaffold. The bare core is neither a true alkaloid nor amino acid. It is biosynthetically derived from amino acids but the simple core C4H5NO2 is too minimal. Better classified as Other"
CMP_G001451,p-coumaroyltyramine,"Amino_acid,Phenylpropanoid",WRONG,Phenylpropanoid,"PMC HCAA reviews; Frontiers plant science","Hydroxycinnamic acid amide (HCAA). p-coumaric acid + tyramine. Phenylpropanoid metabolite. Tyramine is a decarboxylated amino acid (biogenic amine), not an amino acid itself"
