id,name,final_labels,confidence,source,reasoning
CMP_G000524,methysticin,Phenylpropanoid;Polyketide,high,PubChem+Nature Plants 2019,"Kavalactone from Piper methysticum (kava). Styrylpyrone backbone derived from phenylpropanoid pathway (cinnamoyl-CoA starter) + type III polyketide synthase (2x malonyl-CoA extension). Dual classification: phenylpropanoid origin + polyketide biosynthesis. Contains methylenedioxy bridge via CYP719A26."
CMP_G000528,"(5R)-3,5-diethyl-4-hydroxy-5-[(1E)-2-methylbuta-1,3-dienyl]-2,5-dihydrothiophen-2-one",Other,medium,structural analysis,"Thiolactone with diethyl/dienyl substituents. Contains sulfur heterocycle (thiophenone). No clear polyketide or terpenoid skeleton. Unusual structure not fitting standard natural product classes. Possibly synthetic or microbial origin but no definitive classification."
CMP_G000534,salutaridine,Alkaloid,high,PubMed+Nature,"Morphinan alkaloid and key intermediate in morphine biosynthesis in Papaver somniferum. Formed by CYP719B1 (salutaridine synthase) via C-C phenol coupling of (R)-reticuline. Benzylisoquinoline alkaloid class. Unambiguously natural alkaloid."
CMP_G000536,alpha-Amino-4-bromo-1,2-dimethyl-1H-indole-3-propanal,Amino_acid,medium,structural analysis,"Tryptophan analog: indole ring with alpha-amino aldehyde side chain (CC(N)C=O). This is a modified tryptophan derivative (brominated, N-methylated indole). Contains free amino group + carbonyl. Classified as amino acid derivative despite modifications. Likely P450 substrate probe."
CMP_G000538,,Other,high,structural analysis,"SMILES: COc1ccc(CCN2CCC(N=c3[nH]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1. Synthetic drug scaffold: 4-methoxyphenethyl piperazine linked to benzimidazoline with fluorobenzyl group. NOT a natural alkaloid - fully synthetic pharmaceutical compound. Contains N-heterocycles but synthetic origin."
CMP_G000541,,Other,high,structural analysis,"SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2. Contains chroman core + thiazolidinedione moiety (glitazone-like). Synthetic drug scaffold (resembles troglitazone/thiazolidinedione antidiabetics). NOT natural alkaloid or phenylpropanoid."
CMP_G000542,Propyl phenylacetate,Other,high,PubChem,"Simple aromatic ester (propyl ester of phenylacetic acid). Not a fatty acid (phenylacetic acid is C6-C2, no long aliphatic chain >=4C). Not phenylpropanoid (C6-C2, not C6-C3). Used in fragrance industry. Simple aromatic compound."
CMP_G000548,(S)-autumnaline,Alkaloid,high,Nature 2021+Springer,"Phenethylisoquinoline alkaloid from Colchicum autumnale. Key biosynthetic precursor to colchicine via para-para phenol coupling. Derived from L-tyrosine + L-phenylalanine via Pictet-Spengler reaction. Unambiguously natural alkaloid."
CMP_G000553,,Other,high,structural analysis,"SMILES: COc1ccc2c(C(F)(F)F)cc(=O)oc2c1. Methoxy-coumarin with trifluoromethyl group. The CF3 group is diagnostic of synthetic origin - not found in natural phenylpropanoids. Coumarin scaffold is phenylpropanoid-derived but CF3 makes this a synthetic analog. Classified as Other (synthetic)."
CMP_G000554,alpha-Amino-1,2-dimethyl-5-phenyl-1H-indole-3-propanal,Amino_acid,medium,structural analysis,"Tryptophan analog: 1,2-dimethylindole with alpha-amino aldehyde chain (CC(N)C=O) + 5-phenyl substituent. Modified tryptophan derivative used as P450 substrate probe. Contains amino acid backbone. Amino_acid classification."
CMP_G000556,alpha-Amino-6-hydroxy-1-methyl-1H-indole-3-propanal,Amino_acid,medium,structural analysis,"Tryptophan analog: 1-methyl-6-hydroxyindole with alpha-amino aldehyde chain. Modified tryptophan derivative. Contains amino acid backbone (alpha-amino + carbonyl). Amino_acid classification."
CMP_G000557,Fenbendazole,Other,high,Wikipedia+PubChem,"Synthetic benzimidazole anthelmintic drug. Methyl N-(6-(phenylthio)-1H-benzimidazol-2-yl)carbamate. Fully synthetic pharmaceutical (not a natural product). NOT a natural alkaloid despite N-heterocycle."
CMP_G000562,Rubrofusarin B,Polyketide,high,PubChem+Microbial Cell Factories,"Naphtho-gamma-pyrone fungal polyketide pigment from Aspergillus/Fusarium species. Biosynthesized by polyketide synthase (PKS). Core scaffold in fungal melanin-related pathways. Confirmed polyketide."
CMP_G000572,"Benzoic acid, 3-[4-[(dimethylamino)methyl]-1H-1,2,3-triazol-1-yl]-...",Other,high,structural analysis,"Synthetic macrolactone conjugated with triazole-benzoic acid moiety via ester bond. Contains 1,2,3-triazole (click chemistry product). The macrolactone portion resembles epothilone analog. Fully synthetic - not a natural alkaloid or polyketide."
CMP_G000578,1-Tetradecanol,Fatty_acid,high,Wikipedia+PubChem,"C14 straight-chain saturated fatty alcohol (myristyl alcohol). Derived from reduction of myristic acid (C14:0). Found naturally in nutmeg, coconut oil, palm kernel oil. Fatty alcohol = fatty acid derivative. Fatty_acid classification."
CMP_G000580,alpha-Amino-1,2-dimethyl-4-(4-morpholinyl)-1H-indole-3-propanal,Amino_acid,medium,structural analysis,"Tryptophan analog: 1,2-dimethylindole with morpholine at C4 + alpha-amino aldehyde chain. Modified tryptophan derivative (P450 substrate probe series). Contains amino acid backbone. Amino_acid classification."
CMP_G000586,Thioanisole,Other,high,PubChem+Wikipedia,"Methyl phenyl sulfide (CH3SC6H5). Simplest alkyl-aryl thioether. Common P450 probe substrate for sulfoxidation studies. NOT a phenylpropanoid (no C3 chain, contains sulfur). Simple aromatic sulfide."
CMP_G000588,alpha-5-Diamino-1,2-dimethyl-1H-indole-3-propanal,Amino_acid,medium,structural analysis,"Tryptophan analog: 1,2-dimethyl-5-aminoindole with alpha-amino aldehyde chain. Modified tryptophan derivative (P450 substrate probe series). Contains amino acid backbone. Amino_acid classification."
CMP_G000591,,Other,medium,structural analysis,"SMILES: O=C(O)CCCNc1ccncc1. 4-(pyridin-4-ylamino)butanoic acid. Simple aminoalkyl pyridine with carboxylic acid. Not a natural alkaloid (simple synthetic compound). Not amino acid (no alpha-amino group). Other."
CMP_G000592,alpha-Amino-7-fluoro-1,2-dimethyl-1H-indole-3-propanal,Amino_acid,medium,structural analysis,"Tryptophan analog: 1,2-dimethyl-7-fluoroindole with alpha-amino aldehyde chain. Modified tryptophan derivative (fluorinated P450 substrate probe). Contains amino acid backbone. Amino_acid classification."
CMP_G000597,"Benzoic acid, 2-[4-[(dimethylamino)methyl]-1H-1,2,3-triazol-1-yl]-...",Other,high,structural analysis,"Synthetic macrolactone (12-membered ring) with triazole-benzoic acid ester appendage. Contains 1,2,3-triazole (click chemistry). NOT natural alkaloid or polyketide - fully synthetic analog."
CMP_G000599,"(3aR,4S,5R,6aS)-biphenyl carboxylic acid lactone derivative",Other,high,structural analysis,"SMILES contains bicyclic lactone esterified with biphenyl-4-carboxylic acid. Synthetic prostaglandin-like or prostanoid analog. NOT a phenylpropanoid (biphenyl ester, no C6-C3 skeleton). Synthetic pharmaceutical scaffold."
CMP_G000601,,Other,high,structural analysis,"SMILES: CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl. 1,4-dihydropyridine (Hantzsch ester) with 2-chlorophenyl. Amlodipine-type calcium channel blocker scaffold. Fully synthetic drug - NOT natural alkaloid or phenylpropanoid."
CMP_G000610,"Phenol, 4-ethyl-",Other,high,PubChem+ChEBI,"4-Ethylphenol. Simple alkylphenol (C6-C2 pattern). NOT phenylpropanoid (C6-C2, needs C6-C3). Natural occurrence in some foods/wine but not classified in any of the 7 major classes. Simple phenol."
CMP_G000611,PhIP,Other,high,Wikipedia+PubMed,"2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine. Heterocyclic amine formed during cooking of meat (Maillard reaction product). NOT a natural alkaloid - formed by non-enzymatic thermal reaction. Carcinogen metabolized by CYP1A2."
CMP_G000612,Albendazole,Other,high,Wikipedia+DrugBank,"Synthetic benzimidazole anthelmintic drug (methyl [5-(propylthio)-1H-benzimidazol-2-yl]carbamate). Patented 1975, fully synthetic pharmaceutical. NOT a natural alkaloid despite containing N-heterocycle."
CMP_G000614,allocryptopine,Alkaloid,high,Wikipedia+ScienceDirect,"Protopine-type benzylisoquinoline alkaloid from Papaveraceae family (Macleaya, Corydalis, Chelidonium, Argemone). Natural product with antimalarial and neuroprotective activities. Confirmed natural isoquinoline alkaloid."
CMP_G000617,isopentenyladenine,Other,high,PMC+Wikipedia,"N6-isopentenyladenine (iP), a natural cytokinin plant hormone. Purine derivative with isopentenyl side chain. While natural, it is a modified nucleobase/purine - does not fit any of the 7 classes. Not terpenoid (purine core). Not alkaloid (primary metabolite hormone). Other."
CMP_G000627,,Other,high,structural analysis,"SMILES: Cc1ccccc1Cl. 2-Chlorotoluene. Simple chlorinated aromatic hydrocarbon (industrial chemical). NOT phenylpropanoid (no C3 chain, no hydroxyl). Xenobiotic/environmental pollutant."
CMP_G000629,soppiline B,Polyketide,high,RSC Org Biomol Chem 2019,"Alkylresorcinol from Penicillium soppi (cricket-associated fungus). Biosynthesized by HR-PKS (PspA) + type III PKS (PspB) collaboration. Long unsaturated aliphatic chain + resorcinol head. Confirmed fungal polyketide."
CMP_G000630,soppiline B,Polyketide,high,RSC Org Biomol Chem 2019,"Same compound as CMP_G000629 (different stereochemistry in SMILES). Alkylresorcinol polyketide from Penicillium soppi. HR-PKS + type III PKS biosynthesis. Confirmed polyketide."
CMP_G000640,,Fatty_acid,medium,structural analysis,"SMILES: C/C=C/CCC(C)O. (E)-6-Methylhept-2-en-6-ol or similar C7 unsaturated alcohol. Short-chain aliphatic alcohol. Could be monoterpene-derived or fatty acid-derived. Borderline - 7 carbons, branched with methyl. More likely a short terpenol fragment, but no clear isoprene units. Classified as Fatty_acid (aliphatic alcohol) with medium confidence."
CMP_G000643,diphenyl piperazine,Other,high,PubChem+PMC,"1-(Diphenylmethyl)piperazine derivative with cyclohexyl group. Fully synthetic piperazine-based pharmaceutical scaffold. NOT a natural alkaloid - synthetic drug candidate."
CMP_G000649,,Polyketide,medium,structural analysis,"SMILES: Oc1cc(O)c2c(O)c(O)c(O)cc2c1. Pentahydroxynaphthalene (1,2,3,5,7-pattern or similar). Polyhydroxynaphthalene intermediate in fungal DHN-melanin biosynthesis pathway. Produced by polyketide synthase. Polyketide classification."
CMP_G000654,3-Hydroxybenzoic Acid,Other,high,Wikipedia+HMDB+Exposome-Explorer,"Monohydroxybenzoic acid (C6-C1). NOT phenylpropanoid - derived from shikimate pathway (PAL-independent), not phenylpropanoid pathway. C6-C1 structure, not C6-C3. Found in grapefruit and olive oil. Simple phenolic acid."
CMP_G000655,,Other,high,structural analysis+ChEBI,"SMILES: O=C(O)c1ccccc1Cl. 2-Chlorobenzoic acid. Halogenated benzoic acid (C6-C1). NOT phenylpropanoid (C6-C1, not C6-C3, plus chlorine substituent). Simple aromatic acid, possibly xenobiotic."
CMP_G000656,4-hydroperoxy-2,4-dimethyl-2,5-cyclohexadien-1-one,Other,medium,structural analysis,"Cyclohexadienone with hydroperoxy and two methyl groups. Only 8 carbons total - too small for any terpenoid class (monoterpenes need 10C from 2 isoprene units). Oxidation product of p-cymene or similar. No isoprene skeleton pattern. Other."
CMP_G000659,"1H-1,2,3-Triazole-1-acetic acid derivative with macrolactone",Other,high,structural analysis,"Macrolactone esterified with triazole-containing acetic acid. Contains 1,2,3-triazole (click chemistry marker). Synthetic macrolactone analog - NOT natural alkaloid. Same series as CMP_G000572/CMP_G000597."
CMP_G000661,,Other,high,structural analysis,"SMILES: C[C@@H]1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1. Efavirenz or close analog: benzoxazinone with CF3, chlorophenyl, cyclopropylacetylene. Synthetic non-nucleoside reverse transcriptase inhibitor (NNRTI) for HIV. NOT natural alkaloid."
CMP_G000663,methyl 2-cyclohexylacetate,Other,high,PubChem+Sigma,"Simple ester of cyclohexylacetic acid with methanol. NOT fatty acid (cyclohexyl ring, not linear chain). Fragrance/flavor chemical. Simple synthetic ester."
