id,name,final_labels,confidence,source,reasoning
CMP_G001262,losartan-like,Other,high,PubChem/Wikipedia,"Synthetic angiotensin II receptor antagonist drug (losartan class). Chloroimidazole-biphenyltetrazole scaffold is entirely synthetic, not a natural product."
CMP_G001265,"rel-[(1R,2R)-2-Propylcyclopropyl]benzene",Other,high,PubChem,"Simple synthetic phenylcyclopropane hydrocarbon. No natural product origin, no C6-C3 phenylpropanoid skeleton."
CMP_G001274,nicotinic acid (niacin),Other,high,PubChem/Wikipedia,"SMILES O=C(O)c1cccnc1 is pyridine-3-carboxylic acid (vitamin B3/niacin). Natural vitamin but classified as a simple pyridine carboxylic acid, not a traditional alkaloid (lacks complex ring system from amino acid precursor)."
CMP_G001275,synthetic azetidinone,Other,high,PubChem,"Synthetic beta-lactam derivative with bromine substituent and N-benzyl group. No natural product precedent for this specific structure."
CMP_G001282,adenosine-tiglate nucleoside,Other,medium,PubChem,"Complex nucleoside with adenine base, sugar moiety, and tiglate ester. Appears to be a modified nucleoside natural product. Does not fit any of the 7 defined classes."
CMP_G001286,3-(methylthio)benzoic acid,Other,high,PubChem,"Synthetic thioether-substituted benzoic acid. No natural product origin documented. No C6-C3 skeleton for phenylpropanoid."
CMP_G001287,alpha-Amino-4-hydroxy-1-2-dimethyl-1H-indole-3-propanal,Amino_acid,high,structural analysis,"Modified tryptophan derivative: indole ring with alpha-amino aldehyde side chain (CC(N)C=O). Retains amino acid backbone (alpha-amino + carbonyl) on indole scaffold derived from tryptophan."
CMP_G001292,kinetin (cytokinin),Other,high,Wikipedia/PubChem,"Kinetin (6-furfurylaminopurine) is a plant hormone cytokinin. While it contains a purine ring and occurs naturally in DNA, it is a purine nucleobase derivative, not a traditional alkaloid."
CMP_G001296,pilocarpine-like imidazole alkaloid,Alkaloid,high,PubChem/literature,"SMILES matches pilocarpine skeleton: imidazole ring fused with butyrolactone. Pilocarpine is a classic imidazole alkaloid from Pilocarpus (jaborandi). Natural product derived from histidine."
CMP_G001305,ammonia (N),Other,high,trivial,"SMILES 'N' = ammonia/nitrogen atom. Simple inorganic molecule, not classifiable as any natural product class."
CMP_G001311,2-methylnaphthalene,Other,high,PubChem,"Simple polycyclic aromatic hydrocarbon (PAH). Petrochemical origin, not a natural product in the defined classes."
CMP_G001316,seco-Cryptophycin 4 SNAC-thioester,Polyketide,high,literature/ACS,"Cryptophycins are 16-membered depsipeptide natural products from cyanobacterium Nostoc sp., biosynthesized by hybrid PKS/NRPS pathway. Classified as polyketide (mixed PKS-NRPS)."
CMP_G001323,alpha-Amino-5-cyclopropyl-1-2-dimethyl-1H-indole-3-propanal,Amino_acid,high,structural analysis,"Modified tryptophan derivative with cyclopropyl substituent on indole ring. Retains alpha-amino aldehyde side chain on indole scaffold. Tryptophan-derived amino acid analog."
CMP_G001325,cyclopentadecyl desosamine glycoside,Other,medium,structural analysis,"C15 macrocyclic ring glycosylated with desosamine (aminosugar found in macrolide antibiotics). However, the aglycone is a simple cyclopentadecane (no lactone), so not a true macrolide/polyketide."
CMP_G001333,(+)-2-Hexanol,Other,high,PubChem/Wikipedia,"Simple 6-carbon secondary alcohol. Too short and lacks carboxylic acid/acyl group to be a fatty acid. Not classifiable in any of the 7 defined classes."
CMP_G001338,1-methylnaphthalene,Other,high,PubChem,"Simple polycyclic aromatic hydrocarbon. Petrochemical, not a natural product in the defined classes."
CMP_G001347,alpha-Amino-1-2-dimethyl-4-phenyl-1H-indole-3-propanal,Amino_acid,high,structural analysis,"Modified tryptophan derivative with phenyl substituent on indole ring. Retains alpha-amino aldehyde side chain (CC(N)C=O). Tryptophan-derived amino acid analog."
CMP_G001348,tropinone,Alkaloid,high,Wikipedia/PMC,"Classic tropane alkaloid. Tropinone is the central biosynthetic intermediate for all tropane alkaloids (atropine, cocaine, scopolamine). Found in Solanaceae and Erythroxylaceae. Natural product from ornithine/arginine pathway."
CMP_G001349,1-4-benzoxazin-3-one,Other,high,Wikipedia/literature,"Benzoxazinoid plant defense metabolite (HBOA skeleton). While indole-derived, benzoxazinoids are classified as specialized plant metabolites distinct from traditional alkaloids. Contains O not N in ring junction."
CMP_G001363,buspirone,Other,high,Wikipedia/StatPearls,"Fully synthetic azapirone anxiolytic drug, first synthesized 1968. No natural product origin. Contains pyrimidine and piperazine rings but entirely man-made pharmaceutical."
CMP_G001367,"2,3',4,6-tetrahydroxybenzophenone",Polyketide,high,PubChem/MedChemExpress,"Natural polyhydroxylated benzophenone from Gentiana lutea and Garcinia. Precursor to xanthones in plants. Biosynthesized via polyketide pathway (type III PKS). Classified as polyketide."
