id,name,our_labels,verdict,correct_labels,source,notes
CMP_G000839,2-6-dimethoxyphenol (syringol),Other,WRONG,Phenylpropanoid,PubChem CID 7041; Wikipedia Syringol,Syringol is a lignin degradation product derived from sinapyl alcohol (phenylpropanoid pathway). ChEBI classifies as methoxyphenol plant metabolite.
CMP_G000546,D-galactose (AOS),Other,CORRECT,Other,PubChem CID 6036; Wikipedia Galactose,D-galactose is an aldohexose monosaccharide. Carbohydrates do not fit any of the 7 main classes. Other is correct.
CMP_G000397,4-(thiophen-2-yl)benzoic acid,Other,CORRECT,Other,PubChem CID 736498,Synthetic aromatic compound used as Suzuki coupling reagent. No natural product class applies.
CMP_G002116,2-methylbenzoate (o-toluate),Other,CORRECT,Other,PubChem CID 8373,Simple aromatic carboxylic acid. Not a natural product class.
CMP_G000300,3-amino-2-2-dimethylpropanoic acid,Other,CORRECT,Other,PubChem CID 95739,Non-proteinogenic amino acid analog but not a standard amino acid. Too synthetic/modified to classify as Amino_acid. Other is acceptable.
CMP_G001661,2-3-dimethylcyclopent-2-enone,Other,CORRECT,Other,PubChem (related CIDs),Simple cyclopentenone. Not clearly a natural product class.
CMP_G000100,Pyrene,Other,CORRECT,Other,PubChem CID 31423; Wikipedia,Polycyclic aromatic hydrocarbon (PAH). Environmental pollutant not fitting natural product classes.
CMP_G000090,Benzo[a]pyrene,Other,CORRECT,Other,PubChem CID 2336; Wikipedia,PAH carcinogen from incomplete combustion. Not a natural product class.
CMP_G000331,1-methoxy-4-(methylthio)benzene,Other,CORRECT,Other,PubChem CID 15885,Synthetic aromatic sulfide (4-methoxythioanisole). No natural product class.
CMP_G000825,1-chloro-4-(methylthio)benzene,Other,CORRECT,Other,PubChem CID 31243,Synthetic chlorinated aromatic sulfide (4-chlorothioanisole). No natural product class.
CMP_G000860,(-)-Norcamphor,Other,WRONG,Terpenoid,PubChem CID 449588; Wikipedia; DrugBank DB03540,Norcamphor is classified as a bicyclic monoterpenoid (camphor analog without methyl groups). Should be Terpenoid.
CMP_G001985,Ethylbenzene,Other,CORRECT,Other,PubChem CID 7500; Wikipedia,Simple aromatic hydrocarbon. Industrial chemical. Not a natural product class.
CMP_G000079,4-propylbenzoic acid,Other,CORRECT,Other,PubChem CID 137601,Synthetic alkylbenzoic acid. No natural product class.
CMP_G000746,1-3-7-trihydroxyxanthone,Other,WRONG,Polyketide,PubChem CID 5281635; Nature Comms; MDPI Plants review,Xanthone from plants has mixed shikimate-polyketide origin. In fungi/lichens wholly polyketide-derived. NPClassifier and literature classify xanthones under polyketide pathway.
CMP_G001623,2-naphthoic acid,Other,CORRECT,Other,PubChem CID 7123; Wikipedia,Simple naphthalene carboxylic acid. Xenobiotic metabolite. No natural product class.
CMP_G000828,Methyl 4-(2-fluoro-2-methylpropyl)-alpha-methylbenzeneacetate,Other,CORRECT,Other,PubChem (ibuprofen analogs),Fluorinated ibuprofen methyl ester analog. Synthetic pharmaceutical intermediate. Other is correct.
CMP_G001731,4-(2-nitroethyl)phenol,Other,CORRECT,Other,PubChem; ChemSpider,Nitroalkyl phenol derivative. Although structurally related to tyramine it is a synthetic/modified compound. Other is acceptable.
CMP_G001019,4-methoxysalicylic acid,Other,CORRECT,Other,PubChem CID 75231; MedChemExpress,Phenolic compound from Hemidesmus indicus but simple benzoic acid derivative. Not clearly phenylpropanoid (C6-C1 not C6-C3). Other is acceptable.
CMP_G000013,A 2'-unsubstituted isoflavone,Other,WRONG,Phenylpropanoid,Wikipedia Isoflavone; PMC Flavonoids review,Isoflavones are a subclass of flavonoids biosynthesized via the phenylpropanoid pathway. Should be Phenylpropanoid.
CMP_G000640,(E)-3-hepten-2-ol,Other,CORRECT,Other,PubChem CID 551451,Simple alkenol (C7 unsaturated alcohol). Not a natural product class.
CMP_G001298,4-cyclohexylbenzoic acid,Other,CORRECT,Other,PubChem CID 88337,Synthetic aromatic carboxylic acid. No natural product class.
CMP_G000627,2-chlorotoluene,Other,CORRECT,Other,PubChem CID 7238,Simple halogenated aromatic. Industrial solvent. No natural product class.
CMP_G000823,Clomazone,Other,CORRECT,Other,PubChem CID 54778; Wikipedia,Synthetic isoxazolidinone herbicide. Not a natural product class.
