compound_id,old_label,verified_label,confidence,reason
CMP_G000888,Unclassified,Unclassified,high,desosamine glycoside no macrolactone
CMP_G000894,Unclassified,Unclassified,high,synthetic bromo amide P450 probe
CMP_G000903,Unclassified,Unclassified,high,butyl phenylacetate synthetic ester
CMP_G000905,Unclassified,Unclassified,high,4-ethylthiobenzoic acid synthetic thioether
CMP_G000906,Unclassified,Unclassified,high,C14 polyyne generic model ambiguous
CMP_G000907,Unclassified,Unclassified,high,bromo butenyl benzyl amide synthetic probe
CMP_G000912,Unclassified,Fatty_acid,high,anandamide endogenous fatty acid amide C20:4
CMP_G000926,Unclassified,Unclassified,high,cyclodecane simple cycloalkane
CMP_G000928,Unclassified,Amino_acid,high,6-morpholinyl-L-tryptophan intact AA backbone
CMP_G000932,Unclassified,Unclassified,medium,tetramethylundecanol non-isoprenoid branching
CMP_G000935,Unclassified,Unclassified,high,p-toluic acid industrial no ArOH
CMP_G000937,Unclassified,Unclassified,high,chloroethyl fluorobenzene synthetic
CMP_G000939,Unclassified,Fatty_acid,high,lauryl alcohol C12 natural coconut palm
CMP_G000940,Unclassified,Unclassified,high,isobutyronitrile C4 nitrile
CMP_G000942,Unclassified,Unclassified,high,2-7-dimethylnaphthalene PAH fossil
CMP_G000950,Unclassified,Unclassified,medium,purine nucleoside no matching class
CMP_G000952,Unclassified,Unclassified,high,3-chlorobenzoate halogenated xenobiotic
CMP_G000955,Unclassified,Unclassified,high,itaconate C5 dicarboxylic TCA
CMP_G000956,Unclassified,Unclassified,high,propyl chlorophenylacetate synthetic
CMP_G000965,Unclassified,Unclassified,high,desosamine glycoside variant synthetic
CMP_G000966,Unclassified,Unclassified,high,desosamine cyclotridecyl synthetic PikC probe
CMP_G000971,Unclassified,Fatty_acid,medium,jasmonate-valine conjugate oxylipin
CMP_G000983,Unclassified,Amino_acid,high,SAM S-adenosylmethionine AA derivative
CMP_G000990,Unclassified,Unclassified,high,H2O2 inorganic
CMP_G001009,Unclassified,Unclassified,high,2-chloroethylbenzene synthetic
CMP_G001018,Unclassified,Unclassified,high,oxopropylbenzoic acid synthetic
CMP_G001029,Unclassified,Fatty_acid,high,1-decanol C10 natural fatty alcohol
CMP_G001031,Unclassified,Unclassified,high,anthracene PAH combustion
CMP_G001034,Unclassified,Unclassified,high,3-fluorobenzoate halogenated xenobiotic
CMP_G001038,Unclassified,Unclassified,medium,trimethylundecanone non-isoprenoid branching
CMP_G001052,Unclassified,Unclassified,high,methyl chloride C1 halocarbon
CMP_G001055,Unclassified,Unclassified,high,cyclooctyl isobutyrate synthetic ester
CMP_G001078,Unclassified,Fatty_acid,high,2-octanol natural fatty alcohol C8
CMP_G001079,Unclassified,Unclassified,medium,decalin bare hydrocarbon solvent
CMP_G001081,Unclassified,Unclassified,high,biphenyl-4-carboxylic acid synthetic
