id,name,final_labels,confidence,source,reasoning
CMP_G000863,"1H-Indole-3-propanal, alpha-amino-1,2-dimethyl-4-(4-pyridinyl)-",Other,0.90,PubChem/structure,"Synthetic 1,2-dimethylindole with alpha-amino propanal side chain and pyridinyl substituent. Not a natural tryptophan derivative - the N-methyl indole and C2-methyl are synthetic modifications. No COOH so not amino acid. Not a natural alkaloid."
CMP_G000865,,Other,0.95,PubChem/structure,"Tosyl-pyrazole sulfonamide (N-methyl-N-phenylpyrazole toluenesulfonamide). Fully synthetic pharmaceutical/agrochemical scaffold. No natural product origin."
CMP_G000866,"(2R,4R,6R)-2,4,6-Trimethyl-1-octanol",Fatty_acid,0.80,PubChem/Cyberlipid,"Methyl-branched C11 fatty alcohol. Branching pattern consistent with insect pheromone-type lipids (cf. lardolure family). Classified as fatty alcohol/lipid despite lacking carboxylic acid group."
CMP_G000874,1-chloro-4-ethenylbenzene,Other,0.95,PubChem/ChemicalBook,"4-Chlorostyrene - synthetic vinyl monomer used in polymer chemistry. No C6-C3 from PAL pathway. Not a natural phenylpropanoid."
CMP_G000882,,Other,0.90,PubChem/SCBT,"4-(Methylthio)benzoic acid. Simple substituted benzoic acid with thioether. Synthetic building block. Not phenylpropanoid (no C3 chain from PAL pathway)."
CMP_G000885,undecan-2-one,Fatty_acid,0.90,Wikipedia/PubChem,"2-Undecanone (methyl nonyl ketone). C11 methyl ketone found naturally in rue, banana, clove, ginger. Fatty acid-derived ketone from beta-oxidation of lauric acid."
CMP_G000889,succinimide,Other,0.90,PubChem/Wikipedia,"Simple cyclic imide (pyrrolidine-2,5-dione). While found in some plants (Xanthium), it is a simple primary metabolite, not a true alkaloid scaffold. No complex N-heterocyclic natural product features."
CMP_G000897,4-hydroxy-3-prenylbenzoic acid,Other,0.75,IntechOpen/PubChem,"Prenylated hydroxybenzoic acid. Mixed biosynthetic origin (shikimate + mevalonate for prenyl group). The prenyl group is terpenoid-derived but the core is a simple phenol. Does not fit cleanly into Terpenoid or Phenylpropanoid categories."
CMP_G000903,Butyl phenylacetate,Other,0.90,PubChem/GoodScents,"Synthetic fragrance ester (butanol + phenylacetic acid). Used in perfumery. Not a fatty acid (aromatic ester, short chain). Not a natural product class."
CMP_G000904,"Methyl 3-(azidosulfonyl)-4-(1-methylethyl)benzoate",Other,0.95,structure analysis,"Synthetic compound containing azidosulfonyl group (-SO2N3). Azide functionality is non-natural. Synthetic chemistry building block."
CMP_G000905,,Other,0.90,BOCSci/SCBT,"4-(Ethylthio)benzoic acid. Synthetic substituted benzoic acid with thioether. Not phenylpropanoid (no C3 chain). Chemical reagent."
CMP_G000913,Guaiacol,Phenylpropanoid,0.85,Wikipedia/PNAS,"2-Methoxyphenol. Major lignin degradation product representing the guaiacyl (G) unit of lignin. Lignin is built from phenylpropanoid pathway monomers (coniferyl alcohol). P450s (e.g. AgcA) catalyze O-demethylation of guaiacol derivatives."
CMP_G000929,"alpha-Amino-4-chloro-1,2-dimethyl-1H-indole-3-propanal",Other,0.90,structure analysis,"Synthetic 1,2-dimethylindole derivative with alpha-amino aldehyde and chloro substituent. Same synthetic tryptophan analog series as CMP_G000863. Not a natural alkaloid."
CMP_G000932,"(2R,4R,6R,8R)-2,4,6,8-Tetramethyl-1-undecanol",Fatty_acid,0.80,PubChem/Cyberlipid,"Methyl-branched C15 fatty alcohol with regular 1,3-methyl branching. Related to lardolure pheromone family. Classified as branched-chain fatty alcohol."
CMP_G000933,,Other,0.95,Wikipedia/DrugBank,"Flufenamic acid - 2-[[3-(trifluoromethyl)phenyl]amino]benzoic acid. Synthetic NSAID (fenamate class), invented 1963 by Parke-Davis. Contains fluorine. Not a natural product."
CMP_G000935,P-Toluic Acid,Other,0.90,PubChem/Wikipedia,"4-Methylbenzoic acid. Simple substituted benzoic acid. No C3 side chain from PAL pathway, so not phenylpropanoid. Simple aromatic compound."
CMP_G000938,3-Methoxycatechol,Phenylpropanoid,0.85,PubChem/PMC,"Lignin-derived metabolite (3-methoxycatechol). Product of guaiacyl lignin O-demethylation. P450 GcoAB converts 3-MC to pyrogallol. Directly derived from phenylpropanoid pathway lignin monomers."
CMP_G000939,Lauryl Alcohol,Fatty_acid,0.95,Wikipedia/PubChem,"1-Dodecanol (C12 fatty alcohol). Produced from coconut/palm kernel oil. Saturated long-chain fatty alcohol, classic lipid."
CMP_G000948,phenylureas,Other,0.95,Wikipedia/ScienceDirect,"Phenylurea (N-phenylurea). Precursor scaffold of synthetic phenylurea herbicides. Not a natural product alkaloid - purely synthetic class."
CMP_G000950,"methyl (1R,3R,4R,5R,7R,9R,11S,12S,13S)-5-(6-aminopurin-9-yl)-...",Other,0.85,PubChem/structure,"Complex nucleoside (adenosine) ester with tiglate and methoxycarbonyl groups on a bicyclic sugar. Nucleoside natural product but does not fit standard categories. Not an alkaloid (purine nucleoside, not from amino acid-derived alkaloid pathway)."
CMP_G000952,,Other,0.90,Wikipedia/structure,"3-Chlorobenzoate. Simple halogenated benzoic acid. Primarily synthetic. No C3 chain from PAL pathway."
CMP_G000955,itaconate,Other,0.90,Wikipedia/PMC,"Itaconic acid (methylenesuccinic acid). TCA cycle-derived metabolite produced by cis-aconitate decarboxylase. C5 dicarboxylic acid. Not a fatty acid (too short, branched dicarboxylic acid)."
CMP_G000956,"(3-Chlorophenyl)acetic acid propyl ester",Other,0.90,PubChem/structure,"Propyl ester of 3-chlorophenylacetic acid. Synthetic ester with halogenated aromatic. Not a natural product class."
CMP_G000963,,Alkaloid,0.90,ScienceDirect/Nature,"(S)-Norcoclaurine or norreticuline-type benzylisoquinoline alkaloid. Tetrahydroisoquinoline with 6,7-dimethoxy/hydroxy and 4'-hydroxybenzyl. Key intermediate in BIA biosynthesis (>2500 alkaloids). Natural product from Pictet-Spengler condensation of dopamine + 4-HPAA."
CMP_G000964,,Alkaloid,0.90,ScienceDirect/Nature,"(R)-enantiomer of CMP_G000963. Same benzylisoquinoline alkaloid scaffold (tetrahydroisoquinoline with methoxy/hydroxy substituents). Natural BIA pathway intermediate."
CMP_G000973,(-)-matairesinol,Phenylpropanoid,0.95,ScienceDirect/PMC,"Lignan - key intermediate in plant lignan biosynthesis. Formed from coniferyl alcohol via dirigent protein coupling → pinoresinol → lariciresinol → secoisolariciresinol → matairesinol. Classic phenylpropanoid pathway product (two C6-C3 units)."
CMP_G000984,3-hydroxy-5-methoxybiphenyl,Other,0.75,ChEBI/Springer,"Methoxylated hydroxybiphenyl. While biphenyl phytoalexins exist in plants (Rosaceae), this simple biphenyl lacks the C6-C3 unit defining phenylpropanoids. Classified as simple phenolic/biphenyl."
CMP_G001000,,Other,0.95,Wikipedia/DrugBank,"Ebastine - synthetic second-generation H1 antihistamine (4-diphenylmethoxy-1-[3-(4-tert-butylbenzoyl)propyl]piperidine). Patented 1983. Fully synthetic drug, not a natural alkaloid."
CMP_G001004,Dextromethorphan,Other,0.80,Wikipedia/PubChem,"Synthetic morphinan derivative. While morphinan scaffold derives from natural alkaloid morphine, dextromethorphan itself was first synthesized 1941 as non-narcotic cough suppressant. It is the synthetic dextrorotatory enantiomer. Classified as synthetic drug, not natural alkaloid."
CMP_G001009,2-chloroethylbenzene,Other,0.95,PubChem/ChemicalBook,"Phenethyl chloride. Synthetic alkyl halide used as chemical intermediate (e.g. fingolimod synthesis). Not a natural product."
CMP_G001018,,Other,0.90,structure analysis,"4-Propanoylbenzoic acid (CCC(=O)c1ccc(C(=O)O)cc1). Simple aromatic keto-acid. Not phenylpropanoid (propanoyl is not from PAL pathway C3 chain)."
CMP_G001019,4-Methoxysalicylic acid,Other,0.75,MedChemExpress/PubChem,"2-Hydroxy-4-methoxybenzoic acid. Plant natural product (isolated from Hemidesmus indicus). However, it is a simple substituted benzoic acid without C6-C3 phenylpropanoid backbone. Classified as simple phenol/benzoic acid derivative."
CMP_G001023,"alpha-Amino-4-methoxy-1,2-dimethyl-1H-indole-3-propanal",Other,0.90,structure analysis,"Synthetic 1,2-dimethylindole with alpha-amino propanal and methoxy substituent. Same synthetic tryptophan analog series. Not a natural alkaloid."
CMP_G001029,Decanol,Fatty_acid,0.95,Wikipedia/PubChem,"1-Decanol (C10 fatty alcohol). Derived from decanoic acid (coconut/palm kernel oil). Classified as fatty alcohol lipid (C10:0)."
CMP_G001031,anthracene,Other,0.90,Wikipedia/PubChem,"Polycyclic aromatic hydrocarbon (PAH) - three fused benzene rings. Found in coal tar. Not a biosynthetic natural product class. Environmental/combustion product."
CMP_G001034,,Other,0.90,structure analysis,"3-Fluorobenzoate. Simple halogenated benzoic acid (fluorine). Synthetic compound. Not phenylpropanoid."
CMP_G001035,"(2E,4E)-5-(benzo[d][1,3]dioxol-5-yl)-1-(hexahydropyridin-1-yl)penta-2,4-dien-1-one",Alkaloid,0.85,Wikipedia/ScienceDirect,"Piperine analog - contains methylenedioxyphenyl (benzo[d][1,3]dioxol) + conjugated dienone + piperidine amide. Structurally identical to piperine class from Piper longum/nigrum. Natural piperamide alkaloid."
CMP_G001038,"(4R,6R,8R)-4,6,8-Trimethyl-2-undecanone",Fatty_acid,0.80,RSC/structure,"Methyl-branched C14 ketone related to insect pheromone chortolure (acarid mite aggregation pheromone). Regular 1,3-methyl branching pattern. Fatty acid-derived methyl ketone."
CMP_G001039,"alpha-Amino-6-hydroxy-1,2-dimethyl-1H-indole-3-propanal",Other,0.90,structure analysis,"Synthetic 1,2-dimethylindole with alpha-amino propanal and 6-hydroxy. Same synthetic tryptophan analog series. Not a natural alkaloid."
CMP_G001051,,Other,0.95,Wikipedia/DrugBank,"Mephenytoin (5-ethyl-3-methyl-5-phenylhydantoin). Synthetic anticonvulsant drug, hydantoin class. Introduced late 1940s. CYP2C19 substrate. Not a natural product."
