id,name,our_labels,verdict,correct_labels,source,notes
CMP_G000394,2-amino-3-(6-chloro-1H-indol-3-yl)propanoic acid,"Alkaloid,Amino_acid",CORRECT,"Alkaloid,Amino_acid",ChemicalBook/PubChem,6-chloro-L-tryptophan: non-proteinogenic amino acid with indole ring. Dual label correct.
CMP_G001206,prochaetoglobosin I,Alkaloid,WRONG,"Alkaloid,Polyketide",PubMed/Nature/ChEBI,Cytochalasan alkaloid from PKS-NRPS hybrid biosynthesis. Should also be labeled Polyketide.
CMP_G000469,6-Methyl-DL-tryptophan,"Alkaloid,Amino_acid",CORRECT,"Alkaloid,Amino_acid",ChEBI/PubChem,Methylated tryptophan derivative; retains alpha-amino acid backbone + indole ring.
CMP_G000723,5-Ethenyl-L-tryptophan,"Alkaloid,Amino_acid",CORRECT,"Alkaloid,Amino_acid",PubChem,Vinyl-substituted tryptophan; intact amino acid backbone + indole.
CMP_G001299,5-Ethynyl-1.2-dimethyltryptophan,"Alkaloid,Amino_acid",CORRECT,"Alkaloid,Amino_acid",PubChem,Alkynyl dimethyl tryptophan analog; amino acid backbone + N-methylated indole.
CMP_G000612,Albendazole,Alkaloid,WRONG,Other,Wikipedia/PubChem/DrugBank,Synthetic benzimidazole anthelmintic drug (methyl 5-(propylthio)-2-benzimidazolecarbamate). Not a natural product alkaloid.
CMP_G000204,"1H-1,2,3-Triazole-1-acetic acid macrolactone","Alkaloid,Polyketide",WRONG,Other,PubChem/RSC,"Synthetic compound with 1,2,3-triazole (click chemistry product) + macrolactone. Triazoles are not natural products. Not a true alkaloid or polyketide."
CMP_G001239,2-amino-3-(7-chloro-2-methyl-1H-indol-3-yl)propanoic acid,"Alkaloid,Amino_acid",CORRECT,"Alkaloid,Amino_acid",ChemicalBook,7-chloro-2-methyltryptophan: non-proteinogenic amino acid with indole ring.
CMP_G001590,4.4'-dipyridyl disulfide,Alkaloid,WRONG,Other,PubChem/ChEBI,Synthetic disulfide reagent (Aldrithiol-4) used for thiol detection. Not a natural alkaloid.
CMP_G000286,alpha-Amino-7-chloro-1.2-dimethyl-1H-indole-3-propanal,Alkaloid,CORRECT,Alkaloid,PubChem,Synthetic chlorinated dimethylindole propanal; indole alkaloid scaffold classification is reasonable for this N-containing heterocycle.
CMP_G000138,EAS,Alkaloid,WRONG,Other,structural analysis,Synthetic chloroindole-piperidine compound (bis-chloroindole linked via piperidine + amino acid fragment). Designed pharmaceutical; not a natural alkaloid.
CMP_G001846,2-Methyl-6-(4-morpholinyl)tryptophan,"Alkaloid,Amino_acid",CORRECT,"Alkaloid,Amino_acid",PubChem,Morpholine-substituted methyltryptophan; retains amino acid backbone + indole ring.
CMP_G001561,alpha-4-Diamino-1.2-dimethyl-1H-indole-3-propanal,Alkaloid,CORRECT,Alkaloid,PubChem,Aminoindole propanal derivative; indole alkaloid scaffold.
CMP_G000050,alpha-Amino-4-fluoro-1.2-dimethyl-1H-indole-3-propanal,Alkaloid,CORRECT,Alkaloid,PubChem,Fluorinated dimethylindole propanal; indole alkaloid scaffold.
