compound_id,old_label,verified_label,confidence,reason
CMP_G000451,Phenylpropanoid,Unclassified,high,C6-C2 phenylacetate not C6-C3 phenylpropanoid
CMP_G000463,Alkaloid,Unclassified,high,synthetic xenobiotic acetanilide
CMP_G000465,Polyketide,Polyketide,high,alkylresorcinol from type III PKS confirmed
CMP_G000480,Macrolide,Polyketide,high,macrolactam not lactone PoTeM hybrid PKS/NRPS
CMP_G000482,Phenylpropanoid,Polyketide,high,orsellinic acid derivative type III PKS
CMP_G000491,Polyketide,Polyketide,high,alkylresorcinol type III PKS confirmed
CMP_G000512,Phenylpropanoid,Unclassified,medium,C6-C1 dimethoxybenzoic acid synthetic
CMP_G000524,Phenylpropanoid,Phenylpropanoid,high,methysticin kavalactone from cinnamate
CMP_G000528,Polyketide,Polyketide,medium,thiolactone polyketide structure confirmed
CMP_G000535,Monoterpenoid,Monoterpenoid,high,geranyl diphosphate C10 monoterpenoid
CMP_G000539,Macrolide,Polyketide,high,macrolactam PoTeM hybrid PKS/NRPS
CMP_G000562,Polyketide,Polyketide,high,rubrofusarin B fungal naphthopyrone PKS
CMP_G000565,Phenylpropanoid,Phenylpropanoid,high,pinoresinol lignan phenylpropanoid dimer
CMP_G000566,Phenylpropanoid,Phenylpropanoid,high,pinoresinol stereoisomer lignan
CMP_G000567,Phenylpropanoid,Phenylpropanoid,high,epipinoresinol lignan
CMP_G000573,Phenylpropanoid,Phenylpropanoid,high,allylbenzene C6-C3 phenylpropene parent
CMP_G000574,Flavonoid,Flavonoid,high,formononetin isoflavone
CMP_G000577,Polyketide,Polyketide,high,biflaviolin flaviolin dimer type III PKS
CMP_G000581,Polyketide,Unclassified,medium,cyanostyryl pyrone synthetic/xenobiotic
CMP_G000598,Polyketide,Polyketide,high,mevastatin sodium fungal PKS statin
CMP_G000603,Flavonoid,Flavonoid,high,maackiain pterocarpan isoflavonoid
CMP_G000610,Phenylpropanoid,Unclassified,medium,C6-C2 ethylphenol not C6-C3
CMP_G000629,Polyketide,Polyketide,high,soppiline B alkylresorcinol type III PKS
CMP_G000630,Polyketide,Polyketide,high,alkylresorcinol stereoisomer
CMP_G000645,Sesquiterpenoid,Sesquiterpenoid,high,calonectrin trichothecene C15 core
CMP_G000649,Polyketide,Polyketide,high,polyhydroxylated naphthalene from type III PKS
CMP_G000653,Polyketide,Polyketide,medium,ilicicolin C meroterpenoid PKS core dominant
CMP_G000654,Phenylpropanoid,Unclassified,high,3-hydroxybenzoic acid C6-C1 shikimate not phenylpropanoid
CMP_G000684,Amino_acid,Alkaloid,medium,indole scaffold tryptophan-derived alkaloid
CMP_G000685,Monoterpenoid,Diterpenoid,high,geranyllinalool C20 diterpenoid not monoterpenoid
