compound_id,old_label,verified_label,confidence,reason
CMP_G000474,Unclassified,Unclassified,high,Fe-heme b porphyrin cofactor
CMP_G000475,Unclassified,Unclassified,high,4-iodobenzoic acid halogenated xenobiotic
CMP_G000488,Unclassified,Unclassified,high,4-cyclopropylbenzoic acid synthetic
CMP_G000489,Unclassified,Alkaloid,high,thaxtomin D indole DKP alkaloid Streptomyces
CMP_G000495,Unclassified,Alkaloid,high,tryprostatin B prenylated indole DKP A.fumigatus
CMP_G000496,Unclassified,Alkaloid,high,tryprostatin B racemic same
CMP_G000508,Unclassified,Unclassified,high,1-chloro-4-ethylbenzene synthetic
CMP_G000509,Unclassified,Unclassified,high,3-methylbenzoate simple benzoic no ArOH
CMP_G000510,Unclassified,Unclassified,high,m-toluic acid no ArOH
CMP_G000513,Unclassified,Unclassified,high,N2O inorganic gas
CMP_G000523,Unclassified,Unclassified,high,tolylacetic acid propyl ester synthetic
CMP_G000541,Unclassified,Unclassified,high,troglitazone synthetic thiazolidinedione drug
CMP_G000542,Unclassified,Unclassified,high,propyl phenylacetate synthetic
CMP_G000543,Unclassified,Fatty_acid,medium,N-palmitoyl-homoserine C16 acyl AA LIPID MAPS
CMP_G000546,Unclassified,Unclassified,high,D-galactose carbohydrate
CMP_G000549,Unclassified,Unclassified,high,methyl bromide halomethane
CMP_G000559,Unclassified,Unclassified,medium,7-methyl-2-naphthalenemethanol naphthalene
CMP_G000560,Unclassified,Fatty_acid,medium,myristoyl-CoA C14 fatty acyl-CoA LIPID MAPS
CMP_G000578,Unclassified,Fatty_acid,medium,1-tetradecanol C14 myristyl alcohol plant wax
CMP_G000582,Unclassified,Phenylpropanoid,medium,3-ethylphenol from Syringa vulgaris ArOH NP
CMP_G000586,Unclassified,Unclassified,high,thioanisole synthetic P450 model
CMP_G000599,Unclassified,Unclassified,high,biphenyl carboxylic acid lactone ester synthetic
CMP_G000622,Unclassified,Unclassified,high,bromoethyl methylbenzene synthetic
CMP_G000627,Unclassified,Unclassified,high,2-chlorotoluene xenobiotic
CMP_G000632,Unclassified,Fatty_acid,high,JA-Ile jasmonoyl-isoleucine oxylipin CYP94
CMP_G000637,Unclassified,Unclassified,high,ethylphenyl phosphate xenobiotic
CMP_G000639,Unclassified,Polyketide,high,cryptophycin D macrocyclic depsipeptide PKS/NRPS
CMP_G000640,Unclassified,Unclassified,medium,C7 unsaturated alcohol too short
CMP_G000641,Unclassified,Amino_acid,high,7-morpholinyl-L-tryptophan intact AA backbone
CMP_G000642,Unclassified,Unclassified,high,cyclohexylbenzene synthetic aromatic
CMP_G000644,Unclassified,Fatty_acid,medium,methyl tetramethyldecanoate branched fatty acid
CMP_G000651,Unclassified,Unclassified,high,tridecane C13 alkane
CMP_G000652,Unclassified,Unclassified,high,butane C4 alkane
CMP_G000655,Unclassified,Unclassified,high,2-chlorobenzoic acid xenobiotic
CMP_G000657,Unclassified,Fatty_acid,medium,palmitoleoyl-CoA C16:1 acyl-CoA LIPID MAPS
