compound_id,old_label,verified_label,confidence,reason
CMP_G001088,Polyketide,Unclassified,high,1-methoxynaphthalene synthetic aromatic ether
CMP_G001091,Phenylpropanoid,Phenylpropanoid,high,arctigenin dibenzylbutyrolactone lignan
CMP_G001094,Diterpenoid,Terpenoid_other,high,preaspterpenacid acid I C25 sesterterpenoid
CMP_G001095,Diterpenoid,Terpenoid_other,high,same C25 sesterterpenoid stereoisomer
CMP_G001104,Phenylpropanoid,Unclassified,high,4-methoxyacetophenone C6-C2 not C6-C3
CMP_G001114,Phenylpropanoid,Unclassified,high,1-fluoro-4-allylbenzene synthetic fluorinated
CMP_G001115,Polyketide,Polyketide,high,dihydromonacolin L lovastatin precursor PKS
CMP_G001116,Polyketide,Polyketide,high,dihydromonacolin L acid form
CMP_G001127,Macrolide,Polyketide,high,rifamycin L ansamycin no macrolactone
CMP_G001128,Macrolide,Polyketide,high,rifamycin L isomer ansamycin
CMP_G001130,Flavonoid,Flavonoid,high,dihydroxypterocarpan isoflavonoid
CMP_G001131,Polyketide,Polyketide,high,proatranorin I lichen depside PKS
CMP_G001145,Macrolide,Polyketide,medium,PTM macrolactam PKS-NRPS not macrolactone
CMP_G001149,Monoterpenoid,Diterpenoid,high,geranylgeraniol C20 diterpenoid
CMP_G001173,Sesquiterpenoid,Diterpenoid,high,epoxy-lycosantalene C20 diterpenoid
CMP_G001174,Amino_acid,Amino_acid,high,NMVT dipeptide Val-Trp
CMP_G001184,Polyketide,Unclassified,medium,simple phenol no PKS evidence
CMP_G001192,Polyketide,Polyketide,high,proatranorin II lichen depside PKS
CMP_G001212,Amino_acid,Unclassified,high,aniline industrial chemical not AA
CMP_G001215,Phenylpropanoid,Phenylpropanoid,high,sesamin furofuran lignan CYP81Q1
CMP_G001216,Alkaloid,Phenylpropanoid,high,tricoumaroylspermidine HCAA phenolamide
CMP_G001230,Flavonoid,Phenylpropanoid,high,trans-stilbene stilbenoid not flavonoid
CMP_G001252,Phenylpropanoid,Unclassified,high,styrene C8 petrochemical
CMP_G001260,Polyketide,Diterpenoid,medium,chevalone E meroterpenoid diterpenoid core
CMP_G001270,Phenylpropanoid,Phenylpropanoid,high,p-coumaryl alcohol monolignol
CMP_G001278,Amino_acid,Amino_acid,high,N-acetylcysteine AA derivative
CMP_G001288,Phenylpropanoid,Phenylpropanoid,high,ferulate ferulic acid derivative
CMP_G001297,Amino_acid,Amino_acid,high,L-BAIBA beta-amino acid
CMP_G001305,Amino_acid,Unclassified,high,ammonia NH3 inorganic
CMP_G001310,Flavonoid,Flavonoid,high,licodione retrochalcone intermediate
