compound_id,old_label,verified_label,confidence,reason
CMP_G001083,Unclassified,Unclassified,high,Boc-protected aminododecanoic acid synthetic
CMP_G001085,Unclassified,Unclassified,high,4-chlorotoluene xenobiotic
CMP_G001086,Unclassified,Unclassified,high,3-methylbiphenyl synthetic
CMP_G001092,Unclassified,Unclassified,high,CoA cofactor not substrate class
CMP_G001097,Unclassified,Unclassified,high,2-fluorobenzoate xenobiotic
CMP_G001109,Unclassified,Unclassified,high,branched fatty alcohol no carboxylate
CMP_G001119,Unclassified,Unclassified,high,methoxybiphenyl carboxylic acid synthetic
CMP_G001125,Unclassified,Unclassified,high,1-4-dichlorobenzene xenobiotic
CMP_G001129,Unclassified,Unclassified,high,propylbenzene industrial solvent
CMP_G001134,Unclassified,Unclassified,high,synthetic halogenated amide
CMP_G001137,Unclassified,Unclassified,high,pentane alkane
CMP_G001146,Unclassified,Unclassified,high,chloromethylbenzoic acid synthetic
CMP_G001153,Unclassified,Unclassified,high,3-hydroxybenzyl alcohol C6-C1
CMP_G001166,Unclassified,Unclassified,high,chloropropylbenzoic acid synthetic
CMP_G001175,Unclassified,Unclassified,high,adamantane diamondoid
CMP_G001181,Unclassified,Unclassified,high,3-methylanisole no C6-C3
CMP_G001182,Unclassified,Unclassified,medium,cyclopentadecanone macrocyclic ketone not lactone
CMP_G001183,Unclassified,Unclassified,high,3-chlorotoluene xenobiotic
CMP_G001191,Unclassified,Unclassified,high,branched fatty alcohol no carboxylate
CMP_G001196,Unclassified,Unclassified,high,methylcyclopropylbenzene P450 probe
CMP_G001227,Unclassified,Unclassified,high,3-methylcatechol toluene degradation C6-C1
CMP_G001236,Unclassified,Unclassified,high,tolylacetic acid propyl ester synthetic
CMP_G001240,Unclassified,Unclassified,medium,cyclosporine A NRP no matching class
CMP_G001241,Unclassified,Unclassified,medium,cyclosporin A same NRP
CMP_G001242,Unclassified,Unclassified,medium,cyclosporin variant NRP
CMP_G001243,Unclassified,Unclassified,high,chloroethyl methoxybenzene synthetic
CMP_G001253,Unclassified,Unclassified,high,indane petrochemical
CMP_G001259,Unclassified,Alkaloid,high,5-ethenyl-1-methyltryptophan indole alkaloid
CMP_G001265,Unclassified,Unclassified,high,cyclopropylbenzene P450 radical clock
CMP_G001271,Unclassified,Unclassified,high,chloroethyl methylbenzene xenobiotic
CMP_G001282,Unclassified,Unclassified,medium,purine nucleoside no matching class
CMP_G001286,Unclassified,Unclassified,high,methylthiobenzoic acid synthetic
CMP_G001298,Unclassified,Unclassified,high,cyclohexylbenzoic acid synthetic
CMP_G001306,Unclassified,Unclassified,high,ammonium ion inorganic
CMP_G001311,Unclassified,Unclassified,high,2-methylnaphthalene PAH
