id,name,our_labels,verdict,correct_labels,source,notes
CMP_G001667,Galangin,Phenylpropanoid,CORRECT,Phenylpropanoid,PubChem CID 5281616; Wikipedia,Flavonol (3,5,7-trihydroxyflavone); flavonoids are phenylpropanoid-derived
CMP_G000442,(2S)-Naringenin,Phenylpropanoid,CORRECT,Phenylpropanoid,Wikipedia; PMC 10343696,Flavanone; biosynthesized via phenylpropanoid pathway from phenylalanine
CMP_G001681,Phloretin,Phenylpropanoid,CORRECT,Phenylpropanoid,PMC 9460114; ScienceDirect,Dihydrochalcone flavonoid from apples; phenylpropanoid-derived
CMP_G001521,7-methylmellein,Phenylpropanoid,WRONG,Polyketide,ChEBI:192524; PMC 7277180; MDPI Mar Drugs 21(9):490,Isocoumarin (3,4-dihydroisocoumarin) biosynthesized by polyketide synthase (PKS) from acetyl-CoA + malonyl-CoA; NOT phenylpropanoid
CMP_G001411,Phytanic Acid,"Terpenoid,Fatty_acid",CORRECT,"Terpenoid,Fatty_acid",Wikipedia; PubChem CID 26840; HMDB0000801,Branched-chain fatty acid derived from phytol (diterpene from chlorophyll); correctly dual-labeled
CMP_G000497,geraniol,Terpenoid,CORRECT,Terpenoid,NPClassifier; well-known,Acyclic monoterpenoid (C10); widely known
CMP_G000754,"(4aS,9S,10aS)-trimethyl-isopropyl-hexahydrophenanthrene",Terpenoid,CORRECT,Terpenoid,Structural analysis,Abietane-type diterpenoid skeleton (tricyclic C20); terpenoid correct
CMP_G001360,Abieta-8(11)(13)-Triene,Terpenoid,CORRECT,Terpenoid,Well-known diterpenoid,Abietane diterpene hydrocarbon; dehydroabietic acid precursor
CMP_G001566,1-deoxycapsidiol,Terpenoid,CORRECT,Terpenoid,PMC; PubMed 11556809,Sesquiterpenoid; intermediate in capsidiol biosynthesis in tobacco
CMP_G001075,"Unnamed tetracyclic dialdehyde",Terpenoid,CORRECT,Terpenoid,Structural analysis,Tetracyclic diterpenoid skeleton with two aldehyde groups
CMP_G000624,germacrene A acid,Terpenoid,CORRECT,Terpenoid,Well-known sesquiterpenoid,Germacrane-type sesquiterpenoid; precursor of sesquiterpene lactones
CMP_G001394,oryzalexin E,Terpenoid,CORRECT,Terpenoid,PMC 9862927,Diterpenoid (ent-sandaracopimaradiene type); rice phytoalexin
CMP_G001943,"Unnamed apocarotenoid acid",Terpenoid,CORRECT,Terpenoid,Apocarotenoid literature,Apocarotenoid structure (ionone ring + polyene acid chain); terpenoid-derived
CMP_G001910,"Unnamed apocarotenoid acid","Terpenoid,Fatty_acid",WRONG,Terpenoid,Structural analysis,Short conjugated acid chain (C4) is part of the apocarotenoid skeleton not an independent fatty acid; Fatty_acid label incorrect
CMP_G001820,(+)-Nootkatone,Terpenoid,CORRECT,Terpenoid,PubChem CID 1268142; Wikipedia,Sesquiterpenoid ketone; grapefruit aroma compound
CMP_G000595,costunolide,Terpenoid,CORRECT,Terpenoid,PMC 6627852; Wikipedia,Sesquiterpene lactone (germacranolide); terpenoid correct
CMP_G001881,(4R)-Limonene,Terpenoid,CORRECT,Terpenoid,Well-known monoterpenoid,Monocyclic monoterpene; citrus aroma
CMP_G000871,Parthenolide,Terpenoid,CORRECT,Terpenoid,Well-known sesquiterpene lactone,Germacranolide sesquiterpene lactone with epoxide; from feverfew
CMP_G001045,All-Trans-Retinal,Terpenoid,CORRECT,Terpenoid,ChEBI:17898; PMC 3858459,C20 apocarotenoid (retinoid/diterpenoid); derived from beta-carotene cleavage
CMP_G001765,"BHT hydroperoxide metabolite",Terpenoid,WRONG,Other,Wikipedia (BHT); PMC 11057163,Metabolite of BHT (butylated hydroxytoluene); BHT is primarily a synthetic food additive antioxidant not a natural terpenoid
CMP_G001720,(+)-bicyclogermacrene,Terpenoid,CORRECT,Terpenoid,Well-known sesquiterpenoid,Bicyclic sesquiterpenoid (germacrane-type with cyclopropane ring)
CMP_G000997,Oleanolic acid,Terpenoid,CORRECT,Terpenoid,Wikipedia; PubChem,Pentacyclic triterpenoid (oleanane-type); C30
CMP_G001118,(R)-Pulegone,Terpenoid,CORRECT,Terpenoid,Well-known monoterpenoid,Monocyclic monoterpenoid ketone from pennyroyal
CMP_G001329,Gypsogenin,Terpenoid,CORRECT,Terpenoid,Springer; ScienceDirect,Pentacyclic triterpenoid (oleanane-type) sapogenin
CMP_G001168,"Unnamed fluorinated apocarotenoid",Terpenoid,CORRECT,Terpenoid,Structural analysis,Apocarotenoid skeleton with fluorine substituent; terpenoid core intact
CMP_G000365,Caulophyllogenin,Terpenoid,CORRECT,Terpenoid,Nature; ScienceDirect,Pentacyclic triterpenoid sapogenin (oleanane-type) from Caulophyllum
CMP_G000731,Cyclooctat-9-en-7-ol,Terpenoid,CORRECT,Terpenoid,ChEBI:78352; Nature; ACS Catalysis,Fusicoccane-type diterpenoid (5-8-5 tricyclic); from Streptomyces
CMP_G000685,(6E,10E)-Geranyllinalool,Terpenoid,CORRECT,Terpenoid,PubChem CID 5365872; Wikipedia; PMC 4149726,Acyclic diterpenoid alcohol (C20); note: reason says monoterpenoid but it is actually a diterpenoid. Label Terpenoid is still correct.
CMP_G000203,Chrodrimanin C,"Terpenoid,Polyketide",CORRECT,"Terpenoid,Polyketide",PMC 4406737; Nature Chem; ACS Org Lett,Meroterpenoid (drimane sesquiterpene + C10 polyketide moiety); dual label correct
CMP_G000920,preasperterpenoid A,Terpenoid,CORRECT,Terpenoid,Literature on fungal diterpenoids,Fungal diterpenoid with unusual tetracyclic skeleton
CMP_G000064,Taxa-4(20)-11-Dien-5Alpha-Yl Acetate,Terpenoid,CORRECT,Terpenoid,Taxane diterpenoid literature,Taxane diterpenoid (acetylated taxadiene derivative)
CMP_G001513,Taxusin,Terpenoid,CORRECT,Terpenoid,PMC 8393860; ScienceDirect,Tetra-acetylated taxane diterpenoid from Taxus
CMP_G001426,GA4,Terpenoid,CORRECT,Terpenoid,Wikipedia (Gibberellin); PubMed,Gibberellin A4; tetracyclic diterpenoid plant hormone (ent-gibberellane C19)
CMP_G000689,zealexin-A1,Terpenoid,CORRECT,Terpenoid,PMC 3149930; ChemistryViews,Acidic sesquiterpenoid phytoalexin from maize
CMP_G000647,(13R)-8,13-epoxylabd-14-ene,Terpenoid,CORRECT,Terpenoid,Labdane diterpenoid literature,Labdane diterpenoid with epoxy bridge
CMP_G000023,"rel-[(1R,2S)-2-(1-Methylethyl)cyclopropyl]benzene",Terpenoid,WRONG,Other,PubChem (cyclopropylbenzene CID 70112); PubMed 8165817,Synthetic phenylcyclopropane derivative used as P450 mechanistic probe; not a natural terpenoid
CMP_G000226,7beta-hydroxytaxusin,Terpenoid,CORRECT,Terpenoid,Taxane diterpenoid literature,Hydroxylated taxusin; taxane diterpenoid from Taxus
CMP_G001853,iridoid,Terpenoid,CORRECT,Terpenoid,ChEBI:50563; Wikipedia (Iridoid),Iridoid monoterpenoid glycoside (cyclopentanopyran skeleton)
