compound_id,old_label,verified_label,confidence,reason
CMP_G001319,Unclassified,Unclassified,high,N-arachidonoyl serotonin lipid signaling no class
CMP_G001325,Unclassified,Unclassified,high,aminoglycoside cyclopentadecyl not macrolide
CMP_G001326,Unclassified,Unclassified,high,trifluoromethyl cyclopropylbenzene synthetic
CMP_G001333,Unclassified,Unclassified,high,2-hexanol simple alcohol
CMP_G001338,Unclassified,Unclassified,high,1-methylnaphthalene PAH
CMP_G001344,Unclassified,Unclassified,medium,prenylated benzoic acid mixed origin
CMP_G001349,Unclassified,Unclassified,low,benzoxazinone borderline keep Unclassified
CMP_G001355,Unclassified,Unclassified,high,methanethiol C1 sulfur fragment
CMP_G001356,Unclassified,Unclassified,high,methylcyclohexane carboxylic acid simple
CMP_G001366,Unclassified,Unclassified,high,6-O-methyl hexose carbohydrate
CMP_G001382,Unclassified,Unclassified,high,methoxycarbonylphenyl hexanoic acid synthetic
CMP_G001383,Unclassified,Unclassified,high,trimethyloctanoate methyl ester no free COOH
CMP_G001385,Unclassified,Unclassified,high,2-methylbutanenitrile nitrile
CMP_G001387,Unclassified,Unclassified,high,chloropropyl phenylacetate synthetic
CMP_G001388,Unclassified,Unclassified,high,anisole too simple C6-O-C1
CMP_G001391,Unclassified,Unclassified,high,1-2-dichlorobenzene xenobiotic
CMP_G001397,Unclassified,Unclassified,high,cyclopentane simplest cycloalkane
CMP_G001407,Unclassified,Unclassified,high,2-ethylnaphthalene PAH
CMP_G001412,Unclassified,Unclassified,high,m-cresol simple phenol no C6-C3
CMP_G001422,Unclassified,Unclassified,high,methylthiobenzonitrile synthetic
CMP_G001425,Unclassified,Unclassified,high,undecane C11 alkane
CMP_G001453,Unclassified,Unclassified,high,4-phenoxybenzoic acid xenobiotic pyrethroid metabolite
CMP_G001461,Unclassified,Unclassified,high,octadecane C18 alkane
CMP_G001465,Unclassified,Unclassified,high,dihydropyridine Ca-blocker synthetic drug
CMP_G001467,Unclassified,Macrolide,high,A-2315A antibiotic macrolide lactam Actinoplanes
CMP_G001481,Unclassified,Amino_acid,medium,2-methylbutanal oxime isoleucine-derived CYP79
CMP_G001482,Unclassified,Amino_acid,medium,methylbutanal oxime isoleucine-derived
CMP_G001483,Unclassified,Amino_acid,medium,2S-methylbutanal oxime isoleucine-derived
CMP_G001484,Unclassified,Amino_acid,medium,Z-methylbutanal oxime isoleucine-derived
CMP_G001489,Unclassified,Unclassified,high,cyclododecanol macrocyclic alcohol not lactone
CMP_G001512,Unclassified,Unclassified,high,2-octanol fatty alcohol no COOH
CMP_G001517,Unclassified,Unclassified,high,ethyl chlorobenzeneacetate synthetic
CMP_G001518,Unclassified,Unclassified,high,tetramethylundecanoate methyl ester no free COOH
CMP_G001531,Unclassified,Unclassified,high,dodecane C12 alkane
CMP_G001538,Unclassified,Unclassified,high,bufuralol-like synthetic beta-blocker
