id,name,our_labels,verdict,correct_labels,source,notes
CMP_G000169,"(1S)-1,25-Dihydroxy-24-Oxocalciol",Steroid,CORRECT,Steroid,PubChem/Wikipedia,"Vitamin D metabolite; secosteroid derived from cholesterol. Secosteroids are classified under steroids."
CMP_G000779,"(25R)-3Beta-Hydroxy-5-Cholesten-26-Al",Steroid,CORRECT,Steroid,PubChem/HMDB,"Oxysterol; cholesterol derivative with aldehyde at C-26. CYP27A1 bile acid pathway intermediate."
CMP_G001025,Testosterone,Steroid,CORRECT,Steroid,PubChem CID 6013,"Classic androgen steroid hormone. No dispute."
CMP_G000271,,Steroid,CORRECT,Steroid,Structure analysis,"SMILES shows 6-6-6-5 steroid core with sulfate ester. Steroid sulfate conjugate."
CMP_G000788,Calcidiol,Steroid,CORRECT,Steroid,PubChem CID 5283731 / Wikipedia,"25-hydroxyvitamin D3; secosteroid. Classified as steroid."
CMP_G000332,ent-isokaurene,Steroid,WRONG,Terpenoid,BMC Plant Biology 2015 / ScienceDirect,"ent-Isokaurene is a C20 diterpene (labdane-related diterpenoid) NOT a steroid. Has 6-6-6-5 ring but is a tetracyclic diterpene from GGPP pathway."
CMP_G001374,,Steroid,CORRECT,Steroid,Structure analysis,"SMILES shows seco-steroid (vitamin D-type) backbone with broken B-ring and triene system. Secosteroid."
CMP_G000985,Cortisone,Steroid,CORRECT,Steroid,PubChem CID 222786,"Classic glucocorticoid steroid hormone. No dispute."
CMP_G001618,dihydroniloticin,Steroid,WRONG,Terpenoid,MedChemExpress / Invivochem,"Tirucallane-type triterpene (C30). CAS 115334-05-9. Not a steroid; triterpenes are terpenoids."
CMP_G001327,strychnine,"Steroid,Alkaloid",WRONG,Alkaloid,PubChem CID 441071 / Wikipedia,"Terpene indole alkaloid from Strychnos. NOT a steroid despite complex polycyclic structure. Only Alkaloid is correct."
CMP_G000516,tetrahydroalstonine,"Steroid,Alkaloid",WRONG,Alkaloid,ScienceDirect / MedChemExpress,"Monoterpene indole alkaloid (heteroyohimbine-type). NOT a steroid. Only Alkaloid is correct."
CMP_G001342,6alpha-hydroxytyphasterol,Steroid,CORRECT,Steroid,Frontiers Plant Sci / BRENDA,"Brassinosteroid (plant steroid hormone). Typhasterol is a well-known BR intermediate. Steroid correct."
CMP_G001293,"(1S,4S,5R,9S,10S,13S)-13-hydroxy-5,9-dimethyl-14-methylidene-...",Steroid,WRONG,Terpenoid,Literature on kaurane diterpenes,"SMILES shows C20 kaurane-type skeleton with COOH. This is a diterpene acid, NOT a steroid."
CMP_G000733,17Alpha-Hydroxypregnenolone,Steroid,CORRECT,Steroid,PubChem,"Pregnane steroid; precursor in steroidogenesis. No dispute."
CMP_G000954,isomotiol,Steroid,WRONG,Terpenoid,ScienceDirect (Phytochemistry),"Pentacyclic triterpene (fern-8-en-3beta-ol) from Strychnos potatorum. C30 compound. NOT a steroid."
CMP_G000260,"(25R)-3-Oxocholest-4-En-26-Ol",Steroid,CORRECT,Steroid,NPClassifier/structure,"Cholestane skeleton with ketone at C-3 and hydroxyl at C-26. Steroid (oxysterol)."
CMP_G000544,13-desoxypaxilline,"Steroid,Alkaloid",WRONG,"Terpenoid,Alkaloid",PMC / MDPI Toxins,"Indole-diterpene (paspaline-derived). NOT a steroid. Alkaloid label acceptable (contains indole N). Terpenoid is primary class."
CMP_G001858,"22(S)-Hydroxy-5Alpha-Campestan-3-One",Steroid,CORRECT,Steroid,PubChem,"Campestane steroid skeleton. Brassinosteroid pathway intermediate. Steroid correct."
CMP_G000849,kauralexin A1,Steroid,WRONG,Terpenoid,PNAS 2011 / J Agric Food Chem,"ent-Kaurane diterpenoid phytoalexin from maize. C20 diterpene NOT a steroid."
CMP_G001627,,Steroid,CORRECT,Steroid,Structure analysis,"SMILES shows classic steroid ABCD ring system with multiple hydroxyl groups. Consistent with ecdysteroid/brassinosteroid."
CMP_G000967,2alpha-hydroxyismotiol-19-one,Steroid,WRONG,Terpenoid,Literature (isomotiol triterpene series),"Derivative of isomotiol; pentacyclic triterpene. C30 skeleton. NOT a steroid."
CMP_G001967,3Beta-Hydroxycholest-5-En-7-One,Steroid,CORRECT,Steroid,NPClassifier/structure,"Cholestane skeleton with 3beta-OH and 7-keto. Oxysterol. Steroid correct."
CMP_G000767,3beta-hydroxy-5beta-cholestan-6-one,Steroid,CORRECT,Steroid,NPClassifier/structure,"Cholestane steroid with 3beta-OH and 6-keto. Steroid correct."
CMP_G001164,,Steroid,WRONG,Terpenoid,Structure analysis,"SMILES shows C20 kaurane/isokaurene-type diterpene skeleton (same scaffold as ent-isokaurene). NOT a steroid."
CMP_G000207,Dihydrosanguinarine,"Steroid,Alkaloid",WRONG,Alkaloid,ChEBI:17209 / PMC,"Benzophenanthridine alkaloid (benzylisoquinoline class). NOT a steroid. Only Alkaloid is correct."
CMP_G000781,"16Alpha,17Alpha-Dihydroxypregnenolone",Steroid,CORRECT,Steroid,NPClassifier,"Pregnane steroid with additional hydroxyl groups. Steroid correct."
CMP_G000094,Versicolorin B,"Steroid,Polyketide",WRONG,Polyketide,PubMed / PMC,"Aflatoxin biosynthesis intermediate (anthraquinone). Polyketide pathway product. NOT a steroid."
CMP_G001139,,Steroid,CORRECT,Steroid,Structure analysis,"SMILES shows secosteroid (vitamin D-type) backbone. Secosteroid classification is correct."
CMP_G001438,Ursodeoxycholate,Steroid,CORRECT,Steroid,PubChem CID 31401 / Wikipedia,"Bile acid (secondary); steroidal structure derived from cholesterol. Steroid correct."
CMP_G000957,3-O-(beta-D-glucopyranosyl)-isomotiol,Steroid,WRONG,Terpenoid,Literature (isomotiol = pentacyclic triterpene),"Glucoside of isomotiol (pentacyclic triterpene). NOT a steroid."
CMP_G000247,6Alpha-Hydroxycastasterone,Steroid,CORRECT,Steroid,Benchchem / Frontiers Plant Sci,"Brassinosteroid (6alpha-hydroxy intermediate). Plant steroid hormone. Correct."
CMP_G000744,3-O-(beta-D-glucopyranosyl)-2alpha-acetoxyisomotiol,Steroid,WRONG,Terpenoid,Literature (isomotiol = pentacyclic triterpene),"Acetylated glucoside of isomotiol. Pentacyclic triterpene derivative. NOT a steroid."
CMP_G002010,26-Oxolanosterol,Steroid,CORRECT,Steroid,ChEBI:178024 / Wikipedia (Lanosterol),"Lanosterol derivative. Lanosterol is the precursor to all animal/fungal steroids. Sterol/steroid classification correct."
CMP_G001744,Castasterone,Steroid,CORRECT,Steroid,ScienceDirect / PubMed,"Brassinosteroid (plant steroid hormone). The most widely distributed BR. Steroid correct."
CMP_G001414,,Steroid,CORRECT,Steroid,ChEBI:50830 (fluorinated steroid),"SMILES shows fluorinated corticosteroid (9-fluoro pregnane skeleton). Synthetic steroid. Correct."
CMP_G001625,Ecdysone,Steroid,CORRECT,Steroid,Wikipedia / Britannica,"Insect molting steroid hormone (ecdysteroid). Steroid correct."
CMP_G000461,27-Hydroxycholesterol,Steroid,CORRECT,Steroid,PubChem CID 123976 / HMDB,"Oxysterol; endogenous SERM. Cholesterol metabolite. Steroid correct."
CMP_G000944,(22S)-22-hydroxycampesterol,Steroid,CORRECT,Steroid,PubChem / PMC (Plant Physiol),"Phytosterol; early brassinosteroid pathway intermediate. Steroid correct."
CMP_G000456,,"Steroid,Alkaloid",WRONG,Alkaloid,PubChem (coptisine) / PMC,"SMILES matches protoberberine isoquinoline alkaloid (coptisine-like). NOT a steroid. Only Alkaloid is correct."
CMP_G000864,"2alpha,19beta-dihydroxyisomotiol",Steroid,WRONG,Terpenoid,Literature (isomotiol = pentacyclic triterpene),"Hydroxylated isomotiol derivative. Pentacyclic triterpene. NOT a steroid."
