id,name,our_labels,verdict,correct_labels,source,notes
CMP_G001123,"Cirramycin A1, 12,13-deepoxy-12,13-didehydro-4-deoxy-, (12E)-",Polyketide,CORRECT,Polyketide,PubChem/literature,Macrolide antibiotic from Streptomyces; macrocyclic lactone produced by type I PKS
CMP_G001924,mycinamicin VIII,Polyketide,CORRECT,Polyketide,PMC2774819/PMC literature,16-membered macrolide from Micromonospora griseorubida; polyketide synthase mycA cluster confirmed
CMP_G000168,2-hydroxymethyl-3-pentylphenol,Polyketide,CORRECT,Polyketide,ChEBI:195220 / PMC3411943,Alkylresorcinol related to cannabinoid biosynthesis; produced via type III PKS pathway
CMP_G000038,previridicatumtoxin,Polyketide,WRONG,"Polyketide,Terpenoid",PMC3872057 / JACS 2013,Meroterpenoid = polyketide-terpenoid hybrid; acyclic precursor to viridicatumtoxin with geranyl moiety from terpenoid pathway. Should include Terpenoid label.
CMP_G001505,1-Hydroxy-2-naphthoic acid,Polyketide,WRONG,Other,PubChem CID 6844 / ScienceDirect,Xenobiotic metabolite from microbial degradation of phenanthrene (PAH); not a natural product polyketide. Simple aromatic acid.
CMP_G001766,"N-Methyl-D-leucyl-D-tyrosyl-L-asparaginyl-(2R)-2-(4-hydroxyphenyl)glycyl-(2R)-2-...",Amino_acid,CORRECT,Amino_acid,Wikipedia (nonribosomal peptide),Peptide with 6 amide bonds containing D-amino acids and N-methyl groups; nonribosomal peptide / peptide derivative. Amino_acid label acceptable.
CMP_G000330,4-Methyl-L-phenylalanine,Amino_acid,CORRECT,Amino_acid,PubChem (phenylalanine derivative),Methylated phenylalanine analog with intact alpha-amino acid backbone
CMP_G000228,L-Phenylalanine,Amino_acid,CORRECT,Amino_acid,PubChem / Wikipedia,Standard proteinogenic amino acid
CMP_G001638,1-Methyl-7-phenyltryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,Modified tryptophan with intact alpha-amino acid backbone (NH2-CHR-COOH)
CMP_G000717,6-Cyclopropyl-2-methyltryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,Modified tryptophan derivative with intact alpha-amino acid backbone
CMP_G001574,2-amino-3-(5-bromo-1-methylindol-3-yl)propanoic acid,Amino_acid,CORRECT,Amino_acid,Structure analysis,Halogenated tryptophan derivative; clear amino acid structure
CMP_G000928,6-(4-Morpholinyl)-L-tryptophan,Amino_acid,CORRECT,Amino_acid,Structure analysis,Tryptophan derivative with morpholine substituent; intact amino acid backbone
CMP_G000404,2-amino-3-(5-ethynyl-1H-indol-3-yl)propanoic acid,Amino_acid,CORRECT,Amino_acid,Structure analysis,Ethynyl-substituted tryptophan; intact alpha-amino acid backbone
CMP_G001189,L-Tyrosine,Amino_acid,CORRECT,Amino_acid,PubChem CID 6057 / Wikipedia,Standard proteinogenic amino acid
CMP_G000224,N-hydroxy-L-tyrosine,Amino_acid,CORRECT,Amino_acid,PubChem CID 174052,N-hydroxylated tyrosine derivative; intact amino acid backbone
CMP_G000876,(2S)-2-amino-3-(5-methoxy-1H-indol-3-yl)propanoic acid,Amino_acid,CORRECT,Amino_acid,Structure analysis,5-Methoxytryptophan; intact alpha-amino acid backbone
