id,name,final_labels,confidence,source,reasoning
CMP_G001475,4'-O-Methylnorbelladine,Alkaloid,high,PubChem/PMC,"Key intermediate in Amaryllidaceae alkaloid biosynthesis; precursor to galanthamine/lycorine/crinine-type alkaloids via CYP96T phenol coupling"
CMP_G001481,,Other,high,structure,"Small aliphatic oxime (C5); 2-methylbutanal oxime isomer; not a fatty acid (no COOH/acyl); too small for any NP class"
CMP_G001482,2-Methylbutanal Oxime,Other,high,structure,"Small aliphatic aldoxime (C5); intermediate in cyanogenic glucoside pathway in plants; not a fatty acid (no COOH/acyl)"
CMP_G001483,(1E 2S)-2-Methylbutanal Oxime,Other,high,structure,"Stereoisomer of 2-methylbutanal oxime; small aliphatic aldoxime; not fatty acid (no COOH/acyl)"
CMP_G001484,,Other,high,structure,"Z-isomer of 2-methylbutanal oxime; small aliphatic aldoxime; not fatty acid"
CMP_G001489,cyclododecanol,Other,high,structure,"Simple cyclic alcohol (C12 ring); no acyl/COOH group; not a natural product class; used as synthetic intermediate"
CMP_G001496,3-hydroxyindolin-2-one,Other,high,PubChem/literature,"Oxindole scaffold; while oxindole alkaloids exist in nature (e.g. Uncaria), this simple unsubstituted 3-hydroxyoxindole is a basic building block, not itself a characterized natural alkaloid"
CMP_G001502,4-ethoxybenzoic acid,Other,high,structure,"Synthetic ethoxy-substituted benzoic acid; C6-C1 pattern not C6-C3 PAL pathway; ethoxy group is non-natural; not phenylpropanoid"
CMP_G001505,1-Hydroxy-2-naphthoic acid,Other,high,structure,"Simple naphthoic acid; while naphthoic acids can arise from polyketide pathways in bacteria, this simple compound is commonly a synthetic/petrochemical product; no clear NP provenance"
CMP_G001512,2-Octanol,Other,high,structure,"Simple C8 secondary alcohol; no COOH/acyl group; not a fatty acid; common solvent/synthetic chemical"
CMP_G001517,Ethyl 3-chlorobenzeneacetate,Other,high,structure,"Synthetic chlorinated phenylacetate ester; chlorine substituent indicates non-natural; not phenylpropanoid (C6-C2 not C6-C3)"
CMP_G001519,,Other,high,PubChem,"Mesoridazine sulfoxide - synthetic phenothiazine antipsychotic drug with piperidine ring; NOT a natural alkaloid"
CMP_G001527,nicotine,Alkaloid,high,Wikipedia/PubChem,"Classic plant alkaloid from Nicotiana tabacum; pyridine-pyrrolidine structure; biosynthesized from nicotinic acid and putrescine"
CMP_G001528,,Alkaloid,high,PubChem,"(R)-nicotine enantiomer; same natural alkaloid class as (S)-nicotine from tobacco"
CMP_G001529,(S)-nicotine,Alkaloid,high,Wikipedia/PubChem,"Primary natural form of nicotine from tobacco; well-established plant alkaloid"
CMP_G001542,phenylacetonitrile,Other,high,structure,"Simple benzyl cyanide (C6-C1-CN); not C6-C3 phenylpropanoid; intermediate in mandelonitrile/cyanogenic glucoside pathway but not itself a classified NP"
CMP_G001546,Cyclotetradecyl sugar glycoside,Other,medium,structure,"Aminosugar glycoside of cyclotetradecane; macrocyclic ring with sugar moiety; not clearly fatty acid (no COOH/acyl); resembles macrolide-associated sugars but ring is simple hydrocarbon"
CMP_G001549,cyclodecanone,Other,high,structure,"Simple C10 cyclic ketone; no COOH/acyl group; not fatty acid; common synthetic/industrial chemical"
CMP_G001550,cyclododecanone,Other,high,structure,"Simple C12 cyclic ketone; no COOH/acyl group; not fatty acid; musk fragrance precursor"
CMP_G001551,penoxsulam,Other,high,Wikipedia,"Synthetic triazolopyrimidine sulfonamide herbicide; NOT a natural alkaloid despite N-heterocycles"
CMP_G001552,2-methylpropanal oxime,Other,high,structure,"Small C4 aliphatic aldoxime (isobutyraldoxime); intermediate in valine-derived cyanogenic glucoside pathway; not fatty acid"
CMP_G001553,(E)-2-Methylpropanal Oxime,Other,high,structure,"E-isomer of isobutyraldoxime; small aliphatic oxime; not fatty acid"
CMP_G001555,,Other,high,structure,"Flurbiprofen (NSAID); synthetic 2-arylpropionic acid drug with fluorine; NOT a natural phenylpropanoid"
CMP_G001561,alpha-Amino-1 2-dimethyl-1H-indole-3-propanal,Amino_acid,high,structure,"Tryptophan analog (indole + alpha-amino aldehyde side chain); 1,2-dimethylindole with amino acid-like substituent; derived from amino acid metabolism"
CMP_G001564,(E)-4-Hydroxyphenylacetaldehyde Oxime,Other,high,PMC/literature,"Key intermediate in dhurrin (cyanogenic glucoside) biosynthesis from tyrosine via CYP79A1; C6-C2 aldoxime, not C6-C3 phenylpropanoid"
CMP_G001565,(Z)-(4-hydroxyphenyl)acetaldehyde oxime,Other,high,PMC/literature,"Z-isomer of p-hydroxyphenylacetaldehyde oxime; cyanogenic glucoside pathway intermediate; C6-C2 not phenylpropanoid"
CMP_G001569,1-(Ethylthio)-4-methylbenzene,Other,high,structure,"Simple thioether of toluene; synthetic chemical; not a terpenoid (no isoprene units)"
CMP_G001587,naphthalene,Other,high,structure,"Simple PAH (polycyclic aromatic hydrocarbon); petrochemical/coal tar product; not a natural product class"
CMP_G001590,,Other,high,structure,"4,4'-dipyridyl disulfide; synthetic reagent; pyridine rings but NOT a natural alkaloid"
CMP_G001592,virensol B,Polyketide,medium,literature/structure,"Alkylresorcinol-type compound with conjugated pentaenyl chain from resorcinol core; alkylresorcinols are biosynthesized by type III polyketide synthases"
CMP_G001599,cotinine,Alkaloid,high,Wikipedia/PubChem,"Minor tobacco alkaloid and major metabolite of nicotine; pyridine-pyrrolidinone; occurs naturally in tobacco leaves during curing"
