id,name,final_labels,confidence,source,reasoning
CMP_G000348,Caaverine,Alkaloid,high,PubChem;Springer;Wikipedia,Aporphine alkaloid (isoquinoline subclass) isolated from Liriodendron tulipifera and Nelumbo nucifera. Natural plant product with characteristic aporphine skeleton.
CMP_G000350,MeIQx,Other,high,NCBI Bookshelf;PubMed,2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline. Heterocyclic aromatic amine formed during high-temperature cooking of meat. NOT a natural product alkaloid - it is a food-derived mutagen/carcinogen.
CMP_G000371,2,4-Dibromophenol,Other,high,ChemicalStructure,Simple brominated phenol (C6 only). No C6-C3 skeleton required for phenylpropanoid. No biosynthetic link to shikimate/phenylpropanoid pathway.
CMP_G000382,berbamunine,Alkaloid,high,PNAS;ScienceDirect;Springer,Bisbenzylisoquinoline alkaloid first isolated from Berberis amurensis. CYP80A1 catalyzes its biosynthesis via intermolecular phenol coupling. Well-established natural product.
CMP_G000391,norbelladine,Alkaloid,high,PMC;BMC Plant Biology,Amaryllidaceae alkaloid precursor. Condensation product of tyramine + 3,4-DHBA. Key intermediate in biosynthesis of ~650 Amaryllidaceae alkaloids including galanthamine.
CMP_G000397,,Other,high,ChemicalStructure,4-(Thiophen-2-yl)benzoic acid. Synthetic biaryl compound with thiophene ring. No natural product origin; no C6-C3 phenylpropanoid skeleton.
CMP_G000399,N-methylloline,Alkaloid,high,PLoS ONE;PMC;Academia,Loline alkaloid (saturated 1-aminopyrrolizidine with ether bridge). Natural product from Epichloe fungal endophytes of grasses. Dimethylated by LolM enzyme; substrate of CYP LolP.
CMP_G000401,,Other,high,ChemicalStructure,Bis(pyridin-3-yl)methanone derivative. Simple synthetic pyridine compound. Pyridine ring alone does not qualify as natural alkaloid.
CMP_G000403,NNK,Other,high,IARC;PMC;PubMed,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone. Tobacco-specific nitrosamine carcinogen. Although derived from nicotine nitrosation in tobacco processing, it is a degradation product, not a biosynthesized natural alkaloid.
CMP_G000409,,Other,high,ChemicalStructure,4-(2-Oxopropyl)benzoic acid. Simple phenylacetic acid derivative with ketone. C6-C2 carbon skeleton (not C6-C3). No phenylpropanoid classification.
CMP_G000413,Benzo[a]pyrene,Other,high,PMC;EPA;Wikipedia,Polycyclic aromatic hydrocarbon (PAH). Environmental pollutant from incomplete combustion. Not a natural product from any biosynthetic pathway. P450 substrate as xenobiotic.
CMP_G000415,tabersonine,Alkaloid,high,PNAS;PMC;Nature,Monoterpene indole alkaloid (aspidosperma type) from Catharanthus roseus. Biosynthetic precursor to vindoline and anticancer drugs vinblastine/vincristine. Well-characterized natural MIA.
CMP_G000416,(-)-Tabersonine,Alkaloid,high,PNAS;PMC;Nature,Enantiomer of tabersonine. Same monoterpene indole alkaloid classification from Catharanthus roseus.
CMP_G000418,"4,6-dihydroxy-2-(hydroxymethyl)-3-methylbenzoate",Polyketide,high,PMC;Beilstein J Org Chem,Methylated orsellinic acid derivative. Orsellinic acid is an archetypal fungal polyketide produced by type I/III PKS. The hydroxymethyl and methyl substitutions are consistent with polyketide biosynthesis.
CMP_G000419,(R)-Littorine,Alkaloid,high,Nature Comms;PMC;PNAS,Tropane alkaloid from Solanaceae (Atropa belladonna). Key biosynthetic intermediate to hyoscyamine and scopolamine. Condensation of tropine + phenyllactic acid. The phenyllactate moiety does not independently qualify as phenylpropanoid.
CMP_G000420,(R)-littorine,Alkaloid,high,Nature Comms;PMC;PNAS,Protonated form of (R)-littorine. Same tropane alkaloid classification. Solanaceae natural product.
CMP_G000422,,Other,high,ChemicalStructure,4-(Furan-2-yl)benzoic acid. Synthetic biaryl with furan ring. No natural product biosynthetic origin; no C6-C3 skeleton.
CMP_G000423,,Other,high,ChemicalStructure,4-Benzylbenzoic acid. Synthetic diphenylmethane derivative. C6-CH2-C6 is not a phenylpropanoid C6-C3 skeleton.
CMP_G000446,bispyribac sodium,Other,high,PubChem;EPA;Herts PPDB,Synthetic pyrimidinyloxy-benzoic acid herbicide (ALS/AHAS inhibitor). Used in rice weed control. Fully synthetic agrochemical with no natural product origin.
CMP_G000449,(R)-norreticuline,Alkaloid,high,PNAS;Nature;PMC,Benzylisoquinoline alkaloid (BIA). Central intermediate in BIA biosynthesis pathway. Found in Nelumbo nucifera and Papaveraceae. Precursor to diverse alkaloids including morphine and berberine.
CMP_G000450,norreticuline,Alkaloid,high,PNAS;Nature;PMC,Racemic norreticuline. Same benzylisoquinoline alkaloid classification as CMP_G000449. Plant natural product from BIA pathway.
CMP_G000451,3-Hydroxyphenylacetate,Other,high,PubChem;PMC;ScienceDirect,3-Hydroxyphenylacetic acid. C6-C1 phenolic acid (hydroxyphenylacetic acid class). NOT phenylpropanoid (requires C6-C3). Primarily a gut microbial metabolite of flavonoids.
