id,name,final_labels,confidence,source,reasoning
CMP_G000152,"(R)-N-Methylcoclaurine",Alkaloid,high,PubChem/Nature/PMC,"Benzylisoquinoline alkaloid; key branch-point intermediate in BIA biosynthesis in Nelumbo nucifera and Papaveraceae; substrate of CYP80A/CYP80G; derived from tyrosine via norcoclaurine pathway"
CMP_G000153,"NADH (nicotinamide adenine dinucleotide)",Other,high,Wikipedia/PubChem,"Coenzyme/dinucleotide cofactor (adenine + nicotinamide linked by phosphodiester); not a natural product class - it is a primary metabolite/cofactor; no COOH so not amino acid"
CMP_G000160,"Thiomorpholine",Other,high,PubChem/Wikipedia,"Fully synthetic heterocycle (thio analog of morpholine); prepared from cysteamine + vinyl chloride; no natural occurrence documented; NOT an alkaloid (synthetic origin)"
CMP_G000163,"(4R,6R,8R)-4,6,8-Trimethyl-2-decanone",Other,medium,PubChem/ChemicalBook,"Branched methyl ketone with C10 backbone; branching pattern (4,6,8-trimethyl) is not isoprene-based (would need 2,6,10 for isoprenoid); no carboxylic acid so not fatty acid; likely insect pheromone or flavor compound"
CMP_G000164,"4-Nitrophenol",Other,high,Wikipedia/PubChem,"Simple nitrophenol; classic CYP2E1 probe substrate; synthetic xenobiotic; NOT phenylpropanoid (no C3 side chain, no PAL pathway origin); not a natural product"
CMP_G000168,"2-hydroxymethyl-3-pentylphenol",Polyketide,medium,FEBS/PMC,"Alkylresorcinol closely related to olivetol (5-pentylresorcinol); olivetol is polyketide product of type III PKS (olivetol synthase) from hexanoyl-CoA + 3x malonyl-CoA in Cannabis; hydroxymethyl variant consistent with polyketide alkylphenol family"
CMP_G000171,"(S)-Reticuline or boldine-type aporphine",Alkaloid,high,PMC/ScienceDirect,"SMILES shows methoxy/hydroxy benzylisoquinoline/aporphine scaffold; matches reticuline/boldine-type aporphine alkaloid structure; natural BIA from plants (Papaveraceae/Lauraceae); formed by CYP80G-catalyzed phenol coupling of reticuline"
CMP_G000172,"5-(4-fluorophenyl)pentanoic acid",Other,high,PubChem/Fluoropharm,"Synthetic fluorinated arylalkanoic acid; pharmaceutical intermediate (ezetimibe precursor); fluorine substituent confirms synthetic origin; NOT fatty acid (aromatic ring, short chain); NOT natural product"
CMP_G000189,"(2-Hydroxyphenyl)acetic acid",Amino_acid,medium,MedChemExpress/Wikipedia,"2-Hydroxyphenylacetic acid is a metabolite of phenylalanine/tyrosine (aromatic amino acid catabolism); related to homogentisic acid pathway; classified as amino acid derivative per metabolic origin"
CMP_G000190,"Benzoic acid triazole macrolactone conjugate",Other,high,PubChem/patent search,"Synthetic compound: contains 1,2,3-triazole (click chemistry product) + macrolactone + benzoate ester + tertiary amine; triazole ring is hallmark of synthetic click chemistry; NOT alkaloid (no natural biosynthetic origin)"
CMP_G000198,"1-ethenyl-4-(trifluoromethyl)benzene",Other,high,ChemicalBook/BOC Sciences,"4-(Trifluoromethyl)styrene; fully synthetic fluorinated monomer; CF3 group is synthetic hallmark; NOT phenylpropanoid; used as polymer precursor and pharmaceutical building block"
CMP_G000200,"3,4-Dihydroxyphenylacetate (DOPAC, deprotonated)",Amino_acid,high,Wikipedia/DrugBank,"DOPAC is the primary metabolite of dopamine (MAO oxidation product); dopamine derives from L-tyrosine via DOPA; classified as amino acid derivative by metabolic origin from tyrosine"
CMP_G000201,"3,4-Dihydroxyphenylacetic acid (DOPAC)",Amino_acid,high,Wikipedia/DrugBank,"Same as CMP_G000200 (protonated form); DOPAC = dopamine metabolite from tyrosine catabolism; amino acid derivative"
CMP_G000204,"Triazole-diethylamine macrolactone conjugate",Other,high,patent/structural analysis,"Synthetic compound: 1,2,3-triazole (click chemistry) + diethylaminomethyl + macrolactone ester; triazole is synthetic click chemistry hallmark; NOT alkaloid or polyketide"
CMP_G000208,"Ascorbic acid / Erythorbic acid (mislabeled as vitamin D)",Other,high,Wikipedia/PubChem,"SMILES is gamma-lactone of 2-ketogluconic acid = ascorbic acid or its epimer erythorbic acid; sugar acid derived from glucose; NOT polyketide; NOT vitamin D (name is erroneous)"
CMP_G000209,"Melilotic acid",Phenylpropanoid,high,PubChem pathway/ScienceDirect,"3-(2-Hydroxyphenyl)propionic acid; C6-C3 skeleton (phenyl + 3-carbon chain with COOH); coumarin metabolism product; derived from o-coumaric acid reduction in phenylpropanoid pathway; found in Melilotus (sweet clover)"
CMP_G000210,"(2r,4r,6r,8r)-2,4,6,8-Tetramethyldecan-1-ol",Other,medium,PubChem/structural analysis,"Branched fatty alcohol with methyl groups at 2,4,6,8 positions; NOT isoprenoid (isoprene would give 2,6,10 pattern); no carboxylic acid so not fatty acid; likely insect-derived or synthetic; classified as Other"
CMP_G000214,"4-Hydroperoxy-2,4,6-trimethyl-2,5-cyclohexadien-1-one",Other,high,atmospheric chemistry/PubChem,"Oxidation product of mesitylene (1,3,5-trimethylbenzene); peroxyquinol intermediate; NOT terpenoid (mesitylene is not isoprene-derived despite 3 methyl groups - it is a simple aromatic hydrocarbon); xenobiotic oxidation product"
CMP_G000221,"(S,S)-2,5-di-(p-hydroxybenzyl)piperazine",Other,medium,Wikipedia DKP/structural analysis,"Piperazine with two p-hydroxybenzyl groups; related to diketopiperazines (cyclic dipeptides from tyrosine); however this is a reduced piperazine (no carbonyls) not a true DKP; likely synthetic analog; protonated nitrogen; classified as Other"
CMP_G000229,"4-O-demethylbarbatate",Polyketide,high,Wiley/PMC/mBio,"Lichen depside; biosynthesized by type I PKS (pks1/pks23) as homodimer of 3-methylorsellinic acid; key intermediate in lichen acid biosynthesis (atranorin/barbatic acid pathway); confirmed polyketide"
CMP_G000230,"2,4,6-trihydroxybenzophenone",Polyketide,high,PubChem/MDPI,"Phloroglucinol benzophenone; polyketide-derived intermediate in benzophenone/xanthone biosynthesis; precursor to maclurin and mangiferin; produced by type III PKS from benzoyl-CoA + 3x malonyl-CoA"
CMP_G000231,"Phenacetin (4-ethoxyacetanilide)",Other,high,Wikipedia/Britannica,"Synthetic analgesic drug (introduced 1887); ethoxy ether of acetaminophen; NOT alkaloid (fully synthetic aniline derivative); NOT phenylpropanoid; withdrawn from market due to carcinogenicity"
CMP_G000235,"7-Ethoxyresorufin",Other,high,Cayman Chemical/ScienceDirect,"Synthetic fluorogenic probe substrate for CYP1A1/1A2 (EROD assay); fully synthetic dye derivative; NOT alkaloid; NOT phenylpropanoid; laboratory reagent only"
CMP_G000239,"Methyl 2-phenylacetate",Other,medium,Wikipedia/PubChem,"Methyl ester of phenylacetic acid; occurs naturally in honey, coffee, brandy, fruits but is a simple C6-C2 ester; NOT phenylpropanoid (C6-C2 not C6-C3; phenylacetic acid derives from phenylalanine but via different pathway than PAL)"
CMP_G000245,"4-(2-thienyl)benzoic acid",Other,high,Alfa Chemistry/ChemicalBook,"Synthetic biaryl compound for Suzuki coupling; contains thiophene ring (rare in natural products); no natural occurrence documented; NOT phenylpropanoid"
CMP_G000249,"1,2-dihydroacenaphthylene (acenaphthene)",Other,high,Wikipedia/PubChem,"Polycyclic aromatic hydrocarbon (PAH) from coal tar; discovered 1866; NOT phenylpropanoid; industrial chemical used as dye/plastics precursor"
CMP_G000254,"(E/Z)-Phenylacetaldoxime",Amino_acid,high,BMC Plant Biol/ScienceDirect,"Product of CYP79A2/CYP79A61 acting on L-phenylalanine; key intermediate in glucosinolate and cyanogenic glycoside biosynthesis; amino acid (phenylalanine) derivative in plant specialized metabolism"
CMP_G000255,"Phenylacetaldoxime",Amino_acid,high,BMC Plant Biol/ScienceDirect,"Same compound class as CMP_G000254 (different stereoisomer notation); CYP79-catalyzed product from L-phenylalanine; amino acid derivative intermediate in glucosinolate/cyanogenic pathways"
CMP_G000256,"(E)-Phenylacetaldehyde Oxime",Amino_acid,high,BMC Plant Biol/ScienceDirect,"E-isomer of phenylacetaldoxime; same biosynthetic origin as CMP_G000254/255; CYP79-derived from L-phenylalanine; amino acid derivative"
CMP_G000263,"Pseudotropine",Alkaloid,high,PMC/Wikipedia/Nature Comms,"3-beta-tropanol; natural tropane alkaloid from Solanaceae (Atropa belladonna); precursor of calystegines; produced by tropinone reductase II; confirmed natural alkaloid"
CMP_G000272,"Diphenylmethane",Other,high,Wikipedia/PubChem,"Simple diarylmethane hydrocarbon; primarily synthetic (industrial solvent/intermediate); NOT phenylpropanoid (no C3 chain, no PAL pathway); some marine brominated derivatives exist but parent compound is synthetic"
