id,name,our_labels,verdict,correct_labels,source,notes
CMP_G001986,28-Norcastasterone,Steroid,CORRECT,Steroid,PubMed PMC3295382,Cholesterol-derived brassinosteroid (C27-BR); confirmed steroid
CMP_G001865,a C27-steroid,Steroid,CORRECT,Steroid,SMILES structure analysis,Cholestane skeleton with 6-6-6-5 fused rings; canonical steroid
CMP_G000943,23S-Hydroxycampesterol,Steroid,CORRECT,Steroid,Frontiers Plant Sci 2020,Phytosterol intermediate in brassinosteroid biosynthesis; steroid
CMP_G002062,3-epi-6-deoxocathasterone,Steroid,CORRECT,Steroid,PubChem CID 45480560,C28 brassinosteroid intermediate (C28H50O2); steroid
CMP_G001510,32-hydroxy-24_25-dihydrolanosterol,Steroid,CORRECT,Steroid,JBC S0021-9258(19)75777-9,Lanosterol derivative; intermediate in sterol 14alpha-demethylation by CYP51; steroid
CMP_G002061,3-epi-6-deoxocathasterone,Steroid,CORRECT,Steroid,PMC1693957,Brassinosteroid biosynthesis intermediate; steroid (stereoisomer of CMP_G002062)
CMP_G001437,Chenodeoxycholate,Steroid,CORRECT,Steroid,ChEBI:16755 + Wikipedia,Primary bile acid derived from cholesterol; steroid classification confirmed
CMP_G000455,(S)-Cheilanthifoline,Steroid;Alkaloid,WRONG,Alkaloid,PubChem CID 440582 + Wikipedia,Benzylisoquinoline alkaloid (C19H19NO4); NOT a steroid - has methylenedioxy+isoquinoline rings not steroid 6-6-6-5 skeleton. Remove Steroid label.
CMP_G001771,11-Deoxycortisol,Steroid,CORRECT,Steroid,PubChem CID 440707 + Wikipedia,Endogenous glucocorticoid steroid hormone; precursor to cortisol
CMP_G001738,6-deoxocastasterone,Steroid,CORRECT,Steroid,PubMed 11382232,Brassinosteroid precursor to castasterone; confirmed steroid
CMP_G000294,25-Hydroxy-24-Oxocalciol,Steroid,CORRECT,Steroid,Wikipedia (Vitamin D) + ChEBI:27300,Secosteroid (vitamin D metabolite); secosteroids are classified under steroids
CMP_G001657,13-hydroperoxides of linolenic acid (13-HPOT),Fatty_acid,CORRECT,Fatty_acid,PMC61011 + multiple oxylipin refs,Oxylipin derived from linolenic acid (C18:3); hydroperoxy fatty acid
CMP_G000108,Azelaic acid,Fatty_acid,CORRECT,Fatty_acid,PubChem CID 2266 + ChEBI:48131,Dicarboxylic fatty acid (C9); nonanedioic acid; confirmed fatty acid
