record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,confidence,evidence_level,is_correct,is_mutant,trap_detected,needs_human_review,review_reason,reasoning
REC_0514,10,Q00441,EryF (erythromycin biosynthesis),9-AMINOPHENANTHRENE,1EGY,unknown,INHIBITOR,HIGH,A,True,False,none,False,,9-Aminophenanthrene. Notes confirm Fe-N=2.10A coordination. Amine coordinates heme iron. Classic inhibitor. High confidence.
REC_0515,10,Q00441,EryF (erythromycin biosynthesis),4-ANDROSTENE-3-17-DIONE,1EUP,unknown,INHIBITOR,LOW,C,False,False,none,True,Original low confidence classification. Androstenedione is non-native steroid. Could be weak substrate or inhibitor. Notes say 'non-native'. Requires literature search to determine if it's metabolized or only binds. Marking for human review.,Androstenedione (non-native). Notes confirm non-native. Original low confidence maintained. Uncertain if true inhibitor or weak substrate. Needs review.
REC_0516,10,Q00441,EryF (erythromycin biosynthesis),"CIS-1-ACETYL-4-(4-((2-(2,4-DICHLOROPHENYL)-2-(1H-IMIDAZOL-1-YLMETHYL)-1,3-DIOXOLAN-4-YL)METHOXY)PHENYL)PIPERAZINE",1JIP,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,Ketoconazole. Notes confirm Fe-N=2.23A. Clinical antifungal azole. Potent P450 inhibitor. High confidence.
REC_0517,10,Q00441,EryF (erythromycin biosynthesis),6-DEOXYERYTHRONOLIDE B,1Z8O,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,6-DEB is the canonical EryF substrate. Notes confirm 'canonical EryF substrate'. High confidence based on well-established biochemistry.
REC_0518,10,Q00441,EryF (erythromycin biosynthesis),OXYGEN MOLECULE,1Z8O,unknown,EXCLUDE,HIGH,A,True,False,none,False,,O2 cofactor. Notes confirm. Correctly classified as EXCLUDE.
REC_0519,10,Q0SCI3,PbdA (benzoic acid hydroxylase),4-METHOXYBENZOIC ACID,9G9Q,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,Anisic acid (4-methoxybenzoic acid). PbdA is benzoic acid hydroxylase. This is a substituted benzoic acid substrate. Notes confirm 'Anisic acid'. High confidence.
REC_0520,10,Q0SCI3,PbdA (benzoic acid hydroxylase),4-ethylbenzoic acid,9G9R,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,4-ethylbenzoic acid. PbdA hydroxylates benzoic acid derivatives. High confidence.
REC_0521,10,Q0SCI3,PbdA (benzoic acid hydroxylase),"3,4-dimethoxybenzoic acid",9G9S,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,"Veratric acid (3,4-dimethoxybenzoic acid). Notes confirm 'Veratric acid'. Benzoic acid derivative substrate. High confidence."
REC_0522,10,Q16647,CYP8A1 (prostacyclin synthase),"6-PIPERIDIN-1-YLPYRIMIDINE-2,4-DIAMINE 3-OXIDE",3B6H,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,Minoxidil. Notes confirm Fe-O=2.17A. Clinical drug. N-oxide coordinates heme. High confidence.
REC_0523,10,Q16678,P450_Q16678,2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE,3PM0,unknown,INHIBITOR,HIGH,B,True,False,none,False,,Alpha-naphthoflavone. Notes confirm CYP1B1 inhibitor. Classical P450 inhibitor. High confidence.
REC_0524,10,Q16696,CYP2A13 (NNK/nicotine metabolism),INDOLE,2P85,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,Indole. Notes confirm substrate. CYP2A13 metabolizes indole. High confidence.
REC_0525,10,Q16696,CYP2A13 (NNK/nicotine metabolism),"(3S,4R)-3-ethyl-4-[(1-methyl-1H-imidazol-5-yl)methyl]dihydrofuran-2(3H)-one",3T3S,unknown,INHIBITOR,HIGH,A,True,False,none,False,,Pilocarpine analog. Notes confirm Fe-N=2.06-2.61A. Imidazole coordinates Fe. High confidence inhibitor.
REC_0526,10,Q16696,CYP2A13 (NNK/nicotine metabolism),(S)-3-(1-METHYLPYRROLIDIN-2-YL)PYRIDINE,4EJG,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,Nicotine. Notes confirm. CYP2A13 is nicotine/NNK metabolizing enzyme. Canonical substrate. High confidence.
REC_0527,10,Q16696,CYP2A13 (NNK/nicotine metabolism),4-[methyl(nitroso)amino]-1-(pyridin-3-yl)butan-1-one,4EJI,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,NNK (tobacco carcinogen). Notes confirm 'metabolized despite Fe-N=2.05A'. CYP2A13 canonical substrate. High confidence.
REC_0528,10,Q2G637,CYP101C1 (Novosphingobium),"(2R,5R)-hexane-2,5-diol",3OFT,unknown,EXCLUDE,HIGH,A,True,False,none,False,,Hexanediol is crystallization solvent/precipitant. Notes confirm. Correctly classified as EXCLUDE.
REC_0529,10,Q2G637,CYP101C1 (Novosphingobium),"(3E)-4-(2,6,6-trimethylcyclohex-1-en-1-yl)but-3-en-2-one",3OFU,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,Beta-ionone terpene. Notes confirm. CYP101C1 likely metabolizes terpenes. High confidence.
REC_0530,10,Q2G8A2,P450_Q2G8A2,CAMPHOR,3NV6,substrate,SUBSTRATE,HIGH,A,True,False,none,False,,Camphor is canonical substrate for P450cam-like enzymes. Original substrate classification correct. High confidence.
REC_0531,10,Q2GB12,CYP101D1 (camphor monooxygenase),CYANIDE ION,4C9L,substrate,EXCLUDE,HIGH,A,True,False,none,False,,"Cyanide ion (heme ligand, NOT substrate). Notes confirm. Correctly reclassified from substrate to EXCLUDE."
REC_0532,10,Q2GB12,CYP101D1 (camphor monooxygenase),5-EXO-HYDROXYCAMPHOR,6WGW,substrate,PRODUCT,HIGH,A,True,False,none,False,,5-exo-hydroxycamphor is the hydroxylated product of camphor oxidation. Original substrate classification incorrect. Correctly classified as PRODUCT. High confidence.
REC_0533,10,Q2GB12,CYP101D1 (camphor monooxygenase),CAMPHOR,6WGW,substrate,SUBSTRATE,HIGH,A,True,False,none,False,,Camphor is canonical substrate for camphor monooxygenase. Original classification correct. High confidence.
REC_0534,10,Q2IU02,CYP199A4,"3,4-dimethoxybenzoic acid",4EGN,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,Veratric acid. CYP199A4 hydroxylates benzoic acid derivatives. Medium confidence (original medium).
REC_0535,10,Q2IU02,CYP199A4,1H-indole-6-carboxylic acid,4EGO,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,Indole-carboxylic acid. Aromatic carboxylic acid substrate for CYP199A4. Medium confidence.
REC_0536,10,Q2IU02,CYP199A4,naphthalene-2-carboxylic acid,4EGP,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,Naphthalene-2-carboxylic acid. Aromatic carboxylic acid substrate. Medium confidence.
REC_0537,10,Q2IU02,CYP199A4,4-propan-2-ylbenzoic acid,5KDB,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,4-isopropylbenzoic acid. Benzoic acid derivative substrate. High confidence.
REC_0538,10,Q2IU02,CYP199A4,4-ethoxybenzoic acid,5U6T,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,4-ethoxybenzoic acid. Benzoic acid derivative. High confidence.
REC_0539,10,Q2IU02,CYP199A4,4-(methylamino)benzoic acid,5U6W,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,4-(methylamino)benzoic acid. Benzoic acid derivative. Medium confidence.
REC_0540,10,Q2IU02,CYP199A4,4-cyclopropylbenzoic acid,5UVB,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,4-cyclopropylbenzoic acid. Benzoic acid derivative. High confidence.
REC_0541,10,Q2IU02,CYP199A4,4-methoxybenzamide,5YQH,unknown,EXCLUDE,HIGH,A,True,False,none,False,,"4-methoxybenzamide (amide, not carboxylic acid). Notes confirm 'amide, not substrate'. CYP199A4 requires carboxylic acid. Correctly classified as EXCLUDE."
REC_0542,10,Q2IU02,CYP199A4,4-heptylbenzoic acid,6C3H,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,4-heptylbenzoic acid. Benzoic acid derivative. High confidence.
REC_0543,10,Q2IU02,CYP199A4,4-(thiophen-3-yl)benzoic acid,6C3J,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,4-(thiophen-3-yl)benzoic acid. Benzoic acid derivative. High confidence.
REC_0544,10,Q2IU02,CYP199A4,3-methoxybenzoic acid,6PQ6,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,3-methoxybenzoic acid. Benzoic acid derivative. Medium confidence.
REC_0545,10,Q2IU02,CYP199A4,3-(methylsulfanyl)benzoic acid,6PQD,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,3-(methylthio)benzoic acid. Benzoic acid derivative. Medium confidence.
REC_0546,10,Q2IU02,CYP199A4,4-METHYLBENZOIC ACID,6PQS,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,4-methylbenzoic acid (p-toluic acid). Benzoic acid derivative. High confidence.
REC_0547,10,Q2IU02,CYP199A4,3-methylbenzoic acid,6PQW,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,3-methylbenzoic acid. Benzoic acid derivative. Medium confidence.
REC_0548,10,Q2IU02,CYP199A4,3-(methylamino)benzoic acid,6PRR,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,3-(methylamino)benzoic acid. Benzoic acid derivative. Medium confidence.
REC_0549,10,Q2IU02,CYP199A4,3-ethoxybenzoic acid,6PRS,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,3-ethoxybenzoic acid. Benzoic acid derivative. Medium confidence.
REC_0550,10,Q2IU02,CYP199A4,4-(pyridin-3-yl)benzoic acid,6U30,unknown,INHIBITOR,HIGH,B,True,False,none,False,,"4-(pyridin-3-yl)benzoic acid. Pyridine nitrogen can coordinate Fe, converting substrate to inhibitor. High confidence."
REC_0551,10,Q2IU02,CYP199A4,4-(1H-imidazol-1-yl)benzoic acid,6U31,unknown,INHIBITOR,HIGH,B,True,False,none,False,,"4-(1H-imidazol-1-yl)benzoic acid. Imidazole nitrogen coordinates Fe, making this inhibitor not substrate. High confidence."
REC_0552,10,Q2IU02,CYP199A4,(E)-3-(4-methoxyphenyl)acrylic acid,6UNN,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,(E)-3-(4-methoxyphenyl)acrylic acid. Aromatic carboxylic acid. Medium confidence.
REC_0553,10,Q2IU02,CYP199A4,4-(2-methylpropyl)benzoic acid,6VJX,unknown,SUBSTRATE,MEDIUM,B,True,False,none,False,,4-isobutylbenzoic acid. Benzoic acid derivative. Medium-high confidence → MEDIUM.
