record_id,chunk_id,uniprot_id,enzyme_name,ligand_name,pdb_id,original_class,verified_class,confidence,evidence_level,is_correct,is_mutant,trap_detected,needs_human_review,review_reason,reasoning
REC_0058,02,A0A8I3B027,P450 NASF5053 (DKP dimerase),"(3S,8aS)-3-(1H-indol-3-ylmethyl)hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",6VXV,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,Cyclo-L-Trp-L-Pro is a substrate for DKP dimerase. Enzyme catalyzes C-C coupling of diketopiperazines. SUBSTRATE classification is correct.
REC_0059,02,A0A8I3B027,P450 NASF5053 (DKP dimerase),BROMIDE ION,6W0S,substrate,EXCLUDE,HIGH,A,True,False,none,False,,"Bromide ion is not a substrate, likely from crystallization. Original class 'substrate' was incorrect. EXCLUDE classification is correct."
REC_0060,02,A0A8I3B027,P450 NASF5053 (DKP dimerase),"(3~{S},8~{a}~{S})-3-[(4-fluoranyl-1~{H}-indol-3-yl)methyl]-2,3,6,7,8,8~{a}-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",8HNY,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,5FCWP (fluoro-DKP) is a fluorinated substrate analog. SUBSTRATE classification is correct.
REC_0061,02,A0A8I3B027,P450 NASF5053 (DKP dimerase),"(3~{S},8~{a}~{S})-3-[(5-fluoranyl-1~{H}-indol-3-yl)methyl]-2,3,6,7,8,8~{a}-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",8HNZ,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,6FCWP (fluoro-DKP) is a fluorinated substrate analog. SUBSTRATE classification is correct.
REC_0062,02,A0A8I3B027,P450 NASF5053 (DKP dimerase),"(3~{S},8~{a}~{S})-3-[(7-fluoranyl-1~{H}-indol-3-yl)methyl]-2,3,6,7,8,8~{a}-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",8HO0,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,8FCWP (fluoro-DKP) is a fluorinated substrate analog. SUBSTRATE classification is correct.
REC_0063,02,A0A8I3B043,NzeB (DKP dimerase),"(3S,6S)-3,6-bis[(1H-indol-3-yl)methyl]piperazine-2,5-dione",6XAK,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,Cyclo-Trp-Trp is a substrate for NzeB DKP dimerase. SUBSTRATE classification is correct.
REC_0064,02,A0A8I3B043,NzeB (DKP dimerase),"(3S,6S)-3-[(1H-indol-3-yl)methyl]-6-(propan-2-yl)piperazine-2,5-dione",6XAL,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,Cyclo-Trp-Val is a substrate for NzeB DKP dimerase. SUBSTRATE classification is correct.
REC_0065,02,A0A8I3B043,NzeB (DKP dimerase),"(3S,6S)-3-ethyl-6-[(1H-indol-3-yl)methyl]piperazine-2,5-dione",6XAM,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,Cyclo-Trp-homoalanine is a substrate for NzeB DKP dimerase. SUBSTRATE classification is correct.
REC_0066,02,A0A8I3B043,NzeB (DKP dimerase),"(3S,8aS)-3-(1H-indol-3-ylmethyl)hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",7S3T,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,Cyclo-Trp-Pro is a substrate for NzeB DKP dimerase. SUBSTRATE classification is correct.
REC_0067,02,A0AA82WPC6,CYP134A1-like (Staphylococcus),4-PHENYL-1H-IMIDAZOLE,8ABO,inhibitor,INHIBITOR,HIGH,A,True,False,none,False,,4-phenylimidazole with Fe-N=2.04A indicates strong type-II inhibitor binding. Original class was 'inhibitor'. INHIBITOR classification is correct.
REC_0068,02,A0AA82WPC6,CYP134A1-like (Staphylococcus),NITRATE ION,8ABO,unknown,EXCLUDE,HIGH,A,True,False,none,False,,Nitrate ion is not a substrate. EXCLUDE classification is correct.
REC_0069,02,A0AAJ6N6I0,CftA (polyene macrolide hydroxylase),"(1Z,3E,5S,7R,8R,10R,11R,12S,15R,16S,18Z,25S)-11-ethyl-2-hydroxy-10-methyl-21,26-diazapentacyclo[23.2.1.05,16.07,15.08,12]octacosa-1(2),3,13,18-tetraene-20,27,28-trione",8JNP,substrate,SUBSTRATE,HIGH,A,True,False,none,False,,Spiroketal macrolide isomer is a substrate for CftA. Original class was 'substrate'. SUBSTRATE classification is correct.
REC_0070,02,A0AAJ6N6I0,CftA (polyene macrolide hydroxylase),"(1Z,3E,5E,7S,8R,10S,11R,13R,15R,16E,18E,25S)-11-ethyl-2,7-dihydroxy-10-methyl-21,26-diazatetracyclo[23.2.1.09,13.08,15]octacosa-1(2),3,5,16,18-pentaene-20,27,28-trione",8JNQ,substrate,SUBSTRATE,HIGH,A,True,False,none,False,,Spiroketal macrolide is a substrate for CftA. Original class was 'substrate'. SUBSTRATE classification is correct.
REC_0071,02,A0AAX7FLX8,SyoA (lignin O-demethylase),"2,6-dimethoxyphenol",8U19,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,"Syringol (2,6-dimethoxyphenol) is a substrate for SyoA lignin O-demethylase. SUBSTRATE classification is correct."
REC_0072,02,A0AAX7FLX8,SyoA (lignin O-demethylase),NITRATE ION,8U1I,unknown,EXCLUDE,HIGH,A,True,False,none,False,,Nitrate ion is not a substrate. EXCLUDE classification is correct.
REC_0073,02,A0AAX7FLX8,SyoA (lignin O-demethylase),"2,6-dimethoxy-4-methylphenol",8U1I,unknown,SUBSTRATE,HIGH,B,True,False,none,False,,4-methylsyringol is a substrate analog for SyoA. SUBSTRATE classification is correct.
REC_0074,02,A0PUV7,P450_A0PUV7,"(8ALPHA,9BETA)-CHOLEST-4-EN-3-ONE",7SH5,unknown,SUBSTRATE,HIGH,A,True,False,none,False,,Cholestenone is a substrate for mycobacterial P450 sterol metabolism enzymes. SUBSTRATE classification is correct.
