enzyme,reaction,label,ecnumber,difficulty,fake_ecnumber,structure_index
29,0,0,1.14.15.4,-1,/,-1
36,0,0,1.14.15.4,-1,/,-1
93,0,0,1.14.14.-,-1,,-1
216,0,0,1.14.14.91,-1,,-1
231,0,0,1.14.15.4,-1,/,-1
251,0,0,1.14.15.4,-1,,-1
321,0,0,1.14.15.4; 1.14.15.5,2,1.14.14.82,-1
437,0,0,1.14.15.4,1,1.-.-.-,-1
477,0,0,1.14.15.4,-1,/,-1
547,0,0,1.14.15.4,-1,,-1
552,0,0,1.14.15.4; 1.14.15.5,-1,,-1
586,0,0,1.14.13.-,-1,,-1
601,0,0,1.14.15.4,-1,,-1
683,0,0,1.14.15.4,2,1.14.14.166,-1
724,0,0,1.14.14.139,-1,,-1
841,0,1,1.14.15.4,0,,-1
843,0,1,1.14.15.4,0,,-1
854,0,1,1.14.15.4,0,,-1
960,0,0,1.14.15.4,2,1.14.19.76,-1
1197,0,0,1.14.15.4,-1,,-1
1300,0,0,1.14.15.4; 1.14.15.5,3,1.14.15.-,-1
1355,0,0,1.14.15.4,2,1.14.19.n5,-1
1403,0,0,1.14.15.4,-1,,-1
1433,0,0,1.14.15.4; 1.14.15.5,-1,,-1
11,1,0,1.14.14.154,-1,,-1
106,1,0,1.14.14.154,-1,/,-1
114,1,0,1.14.14.154,3,1.14.14.1/1.6.2.4,-1
170,1,0,1.14.14.154,-1,/,-1
282,1,0,1.14.14.154,0,4.2.1.92,-1
351,1,0,,-1,,-1
380,1,0,1.14.14.154,-1,,-1
510,1,0,1.14.14.80,-1,,-1
526,1,0,1.14.14.154,3,1.14.14.148,-1
550,1,0,1.14.14.154,-1,,-1
557,1,0,1.14.14.154,-1,/,-1
573,1,0,1.14.14.154,3,1.14.14.127,-1
591,1,0,1.14.14.154,3,1.14.14.113,-1
598,1,1,1.14.14.154,0,,-1
612,1,0,,-1,,-1
638,1,0,1.14.14.154,-1,,-1
672,1,0,1.14.14.154,-1,/,-1
718,1,0,1.14.14.-,-1,,-1
732,1,0,1.14.14.154,-1,,-1
739,1,0,1.14.14.154,1,1.11.2.4,-1
762,1,0,1.14.14.45,-1,,-1
772,1,0,1.14.15.33,-1,,-1
794,1,0,1.14.14.56,-1,,-1
814,1,0,1.14.14.154,-1,,-1
822,1,0,1.14.14.154,3,1.14.14.-,-1
826,1,1,1.14.14.154,0,,-1
838,1,0,1.14.14.1; 1.6.2.4,-1,,-1
891,1,0,1.14.14.154,0,5.3.99.5,-1
949,1,1,1.14.14.154,0,,-1
986,1,1,1.14.14.154,0,,-1
1006,1,0,1.14.15.36,2,1.14.14.134,-1
1021,1,0,1.14.14.81,-1,,-1
1032,1,0,1.14.14.154,-1,,-1
1071,1,0,1.14.14.154,2,1.14.-.-,-1
1074,1,0,1.14.14.154,2,1.14.-.-,-1
1097,1,0,/,-1,,-1
1110,1,0,1.14.14.154,3,1.14.14.1,-1
1125,1,0,1.14.14.154,3,1.14.14.-,-1
1174,1,1,1.14.14.154,0,,-1
1175,1,0,1.14.15.36,2,1.14.14.80,-1
1176,1,0,1.14.14.154,2,1.14.13.-,-1
1266,1,0,1.14.14.154,3,1.14.14.107,-1
1286,1,0,1.14.14.154,3,1.14.14.82,-1
1333,1,1,1.14.14.154,0,,-1
1376,1,0,1.14.14.154,3,1.14.14.49,-1
1431,1,0,1.14.14.154,-1,,-1
1505,1,0,1.14.14.154,-1,,-1
1509,1,0,1.14.14.154,-1,,-1
1510,1,0,1.14.14.154,-1,,-1
1538,1,0,1.14.14.154,-1,,-1
1578,1,0,1.14.14.154,-1,,-1
1594,1,0,1.14.14.154,-1,,-1
130,2,0,1.14.14.154,-1,,-1
254,2,0,1.14.14.154,1,1.-.-.-,-1
325,2,0,1.14.14.154,-1,/,-1
379,2,0,1.14.14.154,-1,,-1
470,2,0,1.14.14.154,-1,,-1
598,2,1,1.14.14.154,0,,-1
675,2,1,1.14.14.154,0,,-1
887,2,0,1.14.14.43,-1,,-1
921,2,0,1.14.14.154,3,1.14.14.-,-1
943,2,0,1.14.14.154,1,1.4.1.23,-1
1063,2,0,1.14.14.154,-1,/,-1
1184,2,0,1.14.14.154,2,1.14.13.146,-1
1370,2,0,1.14.14.154,3,1.14.14.54,-1
1442,2,0,1.14.14.154,-1,/,-1
1501,2,0,1.14.14.154,-1,,-1
1536,2,0,1.14.14.154,-1,,-1
