enzyme,reaction,label,ecnumber,difficulty,fake_ecnumber,structure_index
31,0,0,1.14.15.4,-1,/,-1
36,0,0,1.14.15.4,-1,/,-1
46,0,0,1.14.15.4,-1,,-1
130,0,0,1.14.15.4,-1,,-1
186,0,0,1.14.15.4,1,1.-.-.-,-1
225,0,0,1.14.15.4,2,1.14.14.127,-1
299,0,0,1.14.15.4,-1,,-1
305,0,0,1.14.15.4,2,1.14.14.174,-1
321,0,0,1.14.15.4; 1.14.15.5,2,1.14.14.82,-1
407,0,0,1.14.15.4; 1.14.15.5,-1,,-1
408,0,0,1.14.15.4,-1,,-1
601,0,0,1.14.15.4,-1,,-1
683,0,0,1.14.15.4,2,1.14.14.166,-1
721,0,0,1.14.15.4; 1.14.15.5,0,4.2.1.92,-1
745,0,0,1.14.15.4,2,1.14.14.24,-1
762,0,0,1.14.15.4,2,1.14.14.45,-1
776,0,0,1.14.15.4,2,1.14.14.1,-1
831,0,0,1.14.15.4,2,1.14.14.14,-1
834,0,0,1.14.15.4,2,1.14.14.1,-1
843,0,1,1.14.15.4,0,,-1
903,0,0,1.14.15.4,2,1.14.14.32,-1
937,0,0,1.14.15.4,2,1.14.14.91,-1
960,0,0,1.14.15.4,2,1.14.19.76,-1
1019,0,0,1.14.15.4,0,4.2.1.B9,-1
1039,0,0,1.14.15.4,2,1.14.14.36,-1
1052,0,0,1.14.15.4,1,1.6.2.4,-1
1197,0,0,1.14.15.4,-1,,-1
1265,0,0,1.14.15.4,-1,,-1
1355,0,0,1.14.15.4,2,1.14.19.n5,-1
1403,0,0,1.14.15.4,-1,,-1
1433,0,0,1.14.15.4; 1.14.15.5,-1,,-1
1503,0,0,1.14.15.4,-1,,-1
1521,0,0,1.14.15.4; 1.14.15.5,-1,,-1
1535,0,0,1.14.15.4,-1,,-1
3,1,0,1.14.15.36,2,1.14.14.150,-1
12,1,0,1.14.15.36,-1,/,-1
47,1,0,1.14.14.154,3,1.14.14.171,-1
51,1,0,1.14.14.154,1,1.-.-.-,-1
52,1,0,1.14.14.154,-1,,-1
71,1,0,1.14.14.154,-1,/,-1
76,1,0,1.14.14.154,3,1.14.14.1,-1
89,1,0,1.14.14.154,-1,,-1
106,1,0,1.14.14.154,-1,/,-1
114,1,0,1.14.14.154,3,1.14.14.1/1.6.2.4,-1
128,1,0,1.14.14.154,-1,/,-1
152,1,0,1.14.14.154,3,1.14.14.58,-1
170,1,0,1.14.14.154,-1,/,-1
178,1,0,1.14.14.154,-1,,-1
187,1,0,1.14.14.154,1,1.-.-.-,-1
204,1,0,1.14.14.154,3,1.14.14.126,-1
216,1,0,1.14.14.154,3,1.14.14.91,-1
227,1,0,1.14.14.154,-1,,-1
245,1,0,1.14.14.154,-1,,-1
337,1,0,1.14.14.154,-1,,-1
347,1,0,1.14.14.154,-1,,-1
390,1,0,1.14.14.154,-1,,-1
516,1,0,1.14.14.154,-1,,-1
519,1,0,1.14.14.154,3,1.14.14.118,-1
550,1,0,1.14.14.154,-1,,-1
557,1,0,1.14.14.154,-1,/,-1
569,1,0,1.14.14.154,3,1.14.14.95,-1
573,1,0,1.14.14.154,3,1.14.14.127,-1
576,1,0,1.14.14.154,-1,,-1
591,1,0,1.14.14.154,3,1.14.14.113,-1
597,1,0,1.14.14.154,3,1.14.14.-,-1
598,1,1,1.14.14.154,0,,-1
647,1,0,1.14.14.154,-1,,-1
655,1,0,1.14.14.154,-1,/,-1
672,1,0,1.14.14.154,-1,/,-1
673,1,1,1.14.14.154,0,,-1
675,1,1,1.14.14.154,0,,-1
685,1,0,1.14.14.154,3,1.14.14.167,-1
714,1,0,1.14.14.154,-1,,-1
737,1,0,1.14.14.154,-1,,-1
739,1,0,1.14.14.154,1,1.11.2.4,-1
814,1,0,1.14.14.154,-1,,-1
822,1,0,1.14.14.154,3,1.14.14.-,-1
826,1,1,1.14.14.154,0,,-1
898,1,0,1.14.14.154,3,1.14.14.1,-1
910,1,0,1.14.14.154,4,1.14.14.154,-1
926,1,0,1.14.14.154,2,1.14.15.29,-1
939,1,0,1.14.14.154,1,1.6.2.4,-1
949,1,1,1.14.14.154,0,,-1
